State,Award Fiscal Year,Grant No,Grantee,319 Obligation Amount,Project Number,Title,319h Base Funds,319h Incremental Funds,Total 319h Funds,Epa Other,Epa Budget,Other Federal,State Funds,State In-Kind,Local Funds,Other Funds,Total Budget,Local In-Kind
AL,2013,96464614,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,1,Administration and Management of the Alabama FY14 Clean Water Act Section 319 Nonpoint Source Program,$0 ,$0 ,"$662,769 ",$0 ,"$662,769 ",$0 ,$0 ,"$441,845 ",$0 ,$0 ,"$1,104,614 ",$0 
AL,2013,96464614,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,2,Statewide Surface Water Quality Monitoring of Priority Wadeable Streams and Rivers,$0 ,$0 ,"$304,140 ",$0 ,"$304,140 ",$0 ,$0 ,"$202,760 ",$0 ,$0 ,"$506,900 ",$0 
AL,2013,96464614,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,3,"Statewide Surface Water Quality Assessment of Rivers, Resevoirs, and Tributary Embayments ",$0 ,$0 ,"$150,592 ",$0 ,"$150,592 ",$0 ,$0 ,"$100,395 ",$0 ,$0 ,"$250,987 ",$0 
AL,2013,96464614,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,4,Alabama Coastal Nonpoint Pollution Control Program (Phase I: Coastal Alabama Onsite Septage Inspection Project),$0 ,$0 ,"$100,000 ",$0 ,"$100,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$100,000 ","$72,252 "
AL,2013,96464614,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,5,Alabama Clean Water Partnership,$0 ,$0 ,"$272,999 ",$0 ,"$272,999 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$272,999 ","$203,411 "
AL,2013,96464614,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,6,Administration and Management of the Alabama FY14 Clean Water Act Section 319 Nonpoint Source Program's Implementation Projects,$0 ,$0 ,"$168,844 ",$0 ,"$168,844 ",$0 ,$0 ,"$112,563 ",$0 ,$0 ,"$281,407 ",$0 
AL,2013,96464614,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,7,Moores Creek Watershed Management Project—Phase Two ,$0 ,$0 ,"$520,093 ",$0 ,"$520,093 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$520,093 ","$380,827 "
AL,2013,96464614,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,8,Graves Creek Watershed Project,$0 ,$0 ,"$179,583 ",$0 ,"$179,583 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$179,583 ","$166,076 "
AL,2013,96464614,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,9,Upper Scarham Creek Watershed Project,$0 ,$0 ,"$261,151 ",$0 ,"$261,151 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$261,151 ","$190,703 "
AL,2013,96464614,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,10,Shoal Creek Watershed Management Plan Implementation ,$0 ,$0 ,"$158,800 ",$0 ,"$158,800 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$158,800 ","$179,426 "
AL,2013,96464614,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,11,Pursley Creek Watershed Management Project,$0 ,$0 ,"$139,496 ",$0 ,"$139,496 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$139,496 ","$93,822 "
AL,2013,96464614,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,12,Catoma Creek Watershed Management Plan - Waller Creek Subwatershed Project,$0 ,$0 ,"$62,533 ",$0 ,"$62,533 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$62,533 ","$41,689 "
AR,2013,99610321,ARKANSAS NATURAL RESOURCES COMMISSION,$0 ,1,Lee Creek and Frog Bayou Watershed Management Planning – Phase II,"$108,794 ",$0 ,"$108,794 ",$0 ,"$217,588 ",$0 ,$0 ,$0 ,"$137,625 ",$0 ,"$355,213 ",$0 
AR,2013,99610321,ARKANSAS NATURAL RESOURCES COMMISSION,$0 ,2,Water Quality Demonstration and Educational Program for the Illinois River Watershed,$0 ,"$300,000 ","$300,000 ",$0 ,"$600,000 ",$0 ,$0 ,$0 ,"$226,315 ",$0 ,"$826,315 ",$0 
