State,Award Fiscal Year,Grant No,Grantee,319 Obligation Amount,Project Number,Title,319h Base Funds,319h Incremental Funds,Total 319h Funds,Epa Other,Epa Budget,Other Federal,State Funds,State In-Kind,Local Funds,Other Funds,Total Budget,Local In-Kind
AL,2005,99469905,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,1,Administration and Management of the Alabama FY05 Clean Water Act Section 319 Nonpoint Source Base Grant,"$696,928 ",$0 ,"$696,928 ",$0 ,"$1,393,856 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,393,856 ",$0 
AL,2005,99469905,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,2,"Rotational River Basin Approach: Surface Water Quality Assessment of the Coosa, Tallapoosa, and Alabama River Basins","$377,582 ",$0 ,"$377,582 ",$0 ,"$755,164 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$755,164 ",$0 
AL,2005,99469905,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,3,"Surface Water Quality Assessment of Rivers, Reservoirs, and Tributary Embayments of the Alabama, Coosa, and Tallapoosa River Basins","$203,461 ",$0 ,"$203,461 ",$0 ,"$406,922 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$406,922 ",$0 
AL,2005,99469905,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,4,Benthic Taxonomic Identification and Analyses/Database Development,"$110,000 ",$0 ,"$110,000 ",$0 ,"$220,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$220,000 ",$0 
AL,2005,99469905,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,5,Alabama Water Watch,"$120,000 ",$0 ,"$120,000 ",$0 ,"$240,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$240,000 ",$0 
AL,2005,99469905,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,6,Water Quality Coordinator and Education/Outreach Specialist for the State Soil and Water Conservation Committee,"$60,000 ",$0 ,"$60,000 ",$0 ,"$120,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$120,000 ",$0 
AL,2005,99469905,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,7,Clean Water Partnership Facilitation,"$270,838 ",$0 ,"$270,838 ",$0 ,"$541,676 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$541,676 ",$0 
AL,2005,99469905,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,8,Broad-scale Communication and Forecasting for Environmental Quality,"$80,000 ",$0 ,"$80,000 ",$0 ,"$160,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$160,000 ",$0 
AL,2005,99469905,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,9,Erosion and Sediment Control on Construction Sites and Urban Areas in Alabama,"$45,000 ",$0 ,"$45,000 ",$0 ,"$90,000 ",$0 ,$0 ,$0 ,$0 ,"$83,563 ","$173,563 ",$0 
AL,2005,99469905,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,10,Administration and Management of the Alabama FY2005 Clean Water ActSection 319 Nonpoint Source Incremental Grant,$0 ,"$325,470 ","$325,470 ",$0 ,"$650,940 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$650,940 ",$0 
AL,2005,99469905,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,12,Demonstration of LID Practies to Reduce NPS Runoff in Saugahatchee Creek,$0 ,"$312,000 ","$312,000 ",$0 ,"$624,000 ",$0 ,$0 ,"$520,000 ",$0 ,$0 ,"$1,144,000 ",$0 
AL,2005,99469905,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,13,Hurricane Creek (Dowling Branch) Restoration Project,$0 ,"$317,922 ","$317,922 ",$0 ,"$635,844 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$635,844 ",$0 
AL,2005,99469905,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,14,Moore's Mill Creek Natural Channel Design ,$0 ,"$342,000 ","$342,000 ",$0 ,"$684,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$684,000 ",$0 
AL,2005,99469905,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,16,Indian Creek Watershed Restoration Project,$0 ,"$357,741 ","$357,741 ",$0 ,"$715,482 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$715,482 ",$0 
AL,2005,99469905,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,17,Juniper Creek Watershed Protection Project,$0 ,"$81,028 ","$81,028 ",$0 ,"$162,056 ",$0 ,$0 ,$0 ,"$54,373 ",$0 ,"$216,429 ",$0 
AL,2005,99469905,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,18,Phase II - Brier Fork/Beaverdam Creek Watershed Restoration Project,$0 ,"$235,130 ","$235,130 ",$0 ,"$470,260 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$470,260 ",$0 
AR,2005,99610313,ARKANSAS NATURAL RESOURCES COMMISSION,$0 ,1,Core Program,"$1,420,917 ","$892,324 ","$2,313,241 ",$0 ,"$4,626,482 ",$0 ,$0 ,$0 ,"$1,043,270 ",$0 ,"$5,669,752 ",$0 
AR,2005,99610313,ARKANSAS NATURAL RESOURCES COMMISSION,$0 ,2,Nonpoint Source Assessment of the Middle Fork White River (MF-WR) Watershed,$0 ,"$55,500 ","$55,500 ",$0 ,"$111,000 ",$0 ,$0 ,$0 ,"$55,532 ",$0 ,"$166,532 ",$0 
AR,2005,99610313,ARKANSAS NATURAL RESOURCES COMMISSION,$0 ,3,Arkansas Silvicultural Non-point Source (NPS) Project,"$134,218 ",$0 ,"$134,218 ",$0 ,"$268,436 ",$0 ,$0 ,$0 ,"$101,266 ",$0 ,"$369,702 ",$0 
AR,2005,99610313,ARKANSAS NATURAL RESOURCES COMMISSION,$0 ,4,:  Demonstration of Best Management Practices for Stream Bank Protection,$0 ,"$215,761 ","$215,761 ",$0 ,"$431,522 ",$0 ,$0 ,$0 ,"$231,235 ",$0 ,"$662,757 ",$0 
AR,2005,99610313,ARKANSAS NATURAL RESOURCES COMMISSION,$0 ,5,Middle White River,"$177,100 ",$0 ,"$177,100 ",$0 ,"$354,200 ",$0 ,$0 ,$0 ,"$180,133 ",$0 ,"$534,333 ",$0 
AR,2005,99610313,ARKANSAS NATURAL RESOURCES COMMISSION,$0 ,6,St. Francis and Lee County Larkin Creek Sediment Prevention Demonstration Project.,$0 ,"$11,000 ","$11,000 ",$0 ,"$22,000 ",$0 ,$0 ,$0 ,"$7,736 ",$0 ,"$29,736 ",$0 
AR,2005,99610313,ARKANSAS NATURAL RESOURCES COMMISSION,$0 ,7,Lower L’Anguille River Watershed Cost-Share Project – Phase II,$0 ,"$202,680 ","$202,680 ",$0 ,"$405,360 ",$0 ,$0 ,$0 ,"$307,795 ",$0 ,"$713,155 ",$0 
AR,2005,99610313,ARKANSAS NATURAL RESOURCES COMMISSION,$0 ,8,Strawberry River Agricultural Watershed Project—Reach III (North Big Creek),$0 ,"$199,399 ","$199,399 ",$0 ,"$398,798 ",$0 ,$0 ,$0 ,"$181,464 ",$0 ,"$580,262 ",$0 
AR,2005,99610313,ARKANSAS NATURAL RESOURCES COMMISSION,$0 ,9,Assessing Nonpoint Source Pollution Sources for a Priority Subwatershed of the Upper Saline River,$0 ,"$112,684 ","$112,684 ",$0 ,"$225,368 ",$0 ,$0 ,$0 ,"$85,007 ",$0 ,"$310,375 ",$0 
AR,2005,99610313,ARKANSAS NATURAL RESOURCES COMMISSION,$0 ,10,Urban NPS Hispanic Outreach and Education,$0 ,"$300,000 ","$300,000 ",$0 ,"$600,000 ",$0 ,$0 ,$0 ,"$245,000 ",$0 ,"$845,000 ",$0 
AR,2005,99610313,ARKANSAS NATURAL RESOURCES COMMISSION,$0 ,11,Demonstration of Low Impact Development Best Management Practices,$0 ,"$69,998 ","$69,998 ",$0 ,"$139,996 ",$0 ,$0 ,$0 ,"$127,608 ",$0 ,"$267,604 ",$0 
AR,2005,99610313,ARKANSAS NATURAL RESOURCES COMMISSION,$0 ,12,Adaptive Management Plan for Ongoing Review of NPS Management Plan,"$222,879 ",$0 ,"$222,879 ",$0 ,"$445,758 ",$0 ,$0 ,$0 ,"$168,350 ",$0 ,"$614,108 ",$0 
AR,2005,99610313,ARKANSAS NATURAL RESOURCES COMMISSION,$0 ,13,Edge of Field Water Quality Monitoring from Various Management Practices in the Ozark Highlands.,$0 ,"$286,347 ","$286,347 ",$0 ,"$572,694 ",$0 ,$0 ,$0 ,"$224,971 ",$0 ,"$797,665 ",$0 
AR,2005,99610313,ARKANSAS NATURAL RESOURCES COMMISSION,$0 ,14,Abandoned Pesticides Project,$0 ,"$200,000 ","$200,000 ",$0 ,"$400,000 ",$0 ,"$209,259 ",$0 ,$0 ,$0 ,"$609,259 ",$0 
AR,2005,99610313,ARKANSAS NATURAL RESOURCES COMMISSION,$0 ,15,Drew County Erosion Control Project,"$28,696 ",$0 ,"$28,696 ",$0 ,"$57,392 ",$0 ,$0 ,$0 ,"$28,696 ",$0 ,"$86,088 ",$0 
AR,2005,99610313,ARKANSAS NATURAL RESOURCES COMMISSION,$0 ,16,ANRC Litter Transport from designated Nutrient Surplus Area (NSA) in Arkansas,"$125,000 ",$0 ,"$125,000 ",$0 ,"$250,000 ",$0 ,"$125,000 ",$0 ,$0 ,$0 ,"$375,000 ",$0 
AR,2005,99610313,ARKANSAS NATURAL RESOURCES COMMISSION,$0 ,17,Abandoned/Outdated Agricultural Pesticide Collection and Disposal Project,"$200,000 ",$0 ,"$200,000 ",$0 ,"$400,000 ",$0 ,"$200,000 ",$0 ,$0 ,$0 ,"$600,000 ",$0 
AZ,2005,96936505,AZ DEPT OF ENV QUALITY,$0 ,2,Eagle Creek Watershed Restoration Project,$0 ,"$252,199 ","$252,199 ",$0 ,"$504,398 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$504,398 ",$0 
AZ,2005,96936505,AZ DEPT OF ENV QUALITY,$0 ,3,Granite Creek Watershed,$0 ,"$47,566 ","$47,566 ",$0 ,"$95,132 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$95,132 ",$0 
AZ,2005,96936505,AZ DEPT OF ENV QUALITY,$0 ,4,2008 Canon Envirothon,"$100,000 ",$0 ,"$100,000 ",$0 ,"$200,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$200,000 ",$0 
AZ,2005,96936505,AZ DEPT OF ENV QUALITY,$0 ,6,University of Arizona Cooperative Extension,"$220,615 ",$0 ,"$220,615 ",$0 ,"$441,230 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$441,230 ",$0 
AZ,2005,96936505,AZ DEPT OF ENV QUALITY,$0 ,7,National Nonpoint Source Education of Municipal Officers Model (NEMO),"$235,400 ",$0 ,"$235,400 ",$0 ,"$470,800 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$470,800 ",$0 
AZ,2005,96936505,AZ DEPT OF ENV QUALITY,$0 ,8,Project WET,"$20,000 ",$0 ,"$20,000 ",$0 ,"$40,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$40,000 ",$0 
AZ,2005,96936505,AZ DEPT OF ENV QUALITY,$0 ,9,Arizona State Envirothon 2006-2008,"$21,931 ",$0 ,"$21,931 ",$0 ,"$43,862 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$43,862 ",$0 
AZ,2005,96936505,AZ DEPT OF ENV QUALITY,$0 ,10,Sediment Reduction in Whitewater Draw using Watershed Partnership,"$61,283 ",$0 ,"$61,283 ",$0 ,"$122,566 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$122,566 ",$0 
AZ,2005,96936505,AZ DEPT OF ENV QUALITY,$0 ,12,Watson Woods Riparian Preserve - Restoration Project Phase I,$0 ,"$273,427 ","$273,427 ",$0 ,"$546,854 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$546,854 ",$0 
AZ,2005,96936505,AZ DEPT OF ENV QUALITY,$0 ,13,Rainbow Lake Water Quality Enhancement,$0 ,"$11,258 ","$11,258 ",$0 ,"$22,516 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$22,516 ",$0 
AZ,2005,96936505,AZ DEPT OF ENV QUALITY,$0 ,14,Granite Creek Watershed - Water Quality Improvement Phase II,$0 ,"$55,065 ","$55,065 ",$0 ,"$110,130 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$110,130 ",$0 
AZ,2005,96936505,AZ DEPT OF ENV QUALITY,$0 ,15,West Clear Creek Tributary Watersheds,"$12,653 ",$0 ,"$12,653 ",$0 ,"$25,306 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$25,306 ",$0 
CA,2005,96931105,CSWRCB - CA STATE WATER RES CTRL BRD,$0 ,5,"I - Garcia River Bank Stabilization, Riparian Revegetation & Fish Habitat Enhancement Project - 2072",$0 ,"$55,257 ","$55,257 ",$0 ,"$110,514 ",$0 ,$0 ,$0 ,$0 ,"$46,838 ","$157,352 ",$0 
CA,2005,96931105,CSWRCB - CA STATE WATER RES CTRL BRD,$0 ,6,"I - Mattole River Good Roads, Clear Creeks Program, Upper Mattole Phase, November, 2004 - 2100",$0 ,"$990,876 ","$990,876 ",$0 ,"$1,981,752 ",$0 ,$0 ,$0 ,$0 ,"$677,309 ","$2,659,061 ",$0 
CA,2005,96931105,CSWRCB - CA STATE WATER RES CTRL BRD,$0 ,7,I - Tomales Bay Rangeland BMP Pathogen TMDL Implementation Project - 2262,$0 ,"$350,000 ","$350,000 ",$0 ,"$700,000 ",$0 ,$0 ,$0 ,$0 ,"$345,937 ","$1,045,937 ",$0 
CA,2005,96931105,CSWRCB - CA STATE WATER RES CTRL BRD,$0 ,8,I - Vegetative Treatment Systems and AWQGP Implementation to Abate Nutrient Loading in the Pajaro Watershed  1944,$0 ,"$999,397 ","$999,397 ",$0 ,"$1,998,794 ",$0 ,$0 ,$0 ,$0 ,"$211,500 ","$2,210,294 ",$0 
CA,2005,96931105,CSWRCB - CA STATE WATER RES CTRL BRD,$0 ,10,I - Environmentally Responsible Management for Tree Crops in the Feather River Basin - PIN 1242 ,$0 ,"$990,748 ","$990,748 ",$0 ,"$1,981,496 ",$0 ,$0 ,$0 ,$0 ,"$322,380 ","$2,303,876 ",$0 
CA,2005,96931105,CSWRCB - CA STATE WATER RES CTRL BRD,$0 ,12,I - ICFB Voluntary TMDL Compliance Program - 1670,$0 ,"$379,440 ","$379,440 ",$0 ,"$758,880 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$758,880 ",$0 
CA,2005,96931105,CSWRCB - CA STATE WATER RES CTRL BRD,$0 ,13,I - Restoring Natural Water Systems in Rural Residential Landscapes,$0 ,"$495,000 ","$495,000 ",$0 ,"$990,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$990,000 ",$0 
CA,2005,96931105,CSWRCB - CA STATE WATER RES CTRL BRD,$0 ,14,I - Early Implementation of the Truckee River Total Maximum Daily Load (TMDL) - 2138,$0 ,"$359,000 ","$359,000 ",$0 ,"$718,000 ",$0 ,$0 ,$0 ,$0 ,"$90,000 ","$808,000 ",$0 
CA,2005,96931105,CSWRCB - CA STATE WATER RES CTRL BRD,$0 ,15,P/A - Klamath Basin Monitoring Program (KBMP),$0 ,"$275,000 ","$275,000 ",$0 ,"$550,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$550,000 ",$0 
CA,2005,96931105,CSWRCB - CA STATE WATER RES CTRL BRD,$0 ,16,Citizen’s Monitoring Program-Comparison of Results between CMAP and CRAM,$0 ,"$50,000 ","$50,000 ",$0 ,"$100,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$100,000 ",$0 
CO,2005,99818605,CO DEPARTMENT OF PUBLIC HEALTH & ENVIRONMENT,$0 ,1,Indirect for Outside Contractors,"$28,366 ",$0 ,"$28,366 ",$0 ,"$56,732 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$56,732 ",$0 
CO,2005,99818605,CO DEPARTMENT OF PUBLIC HEALTH & ENVIRONMENT,$0 ,2,AWARE Colorado Continuation,"$127,350 ",$0 ,"$127,350 ",$0 ,"$254,700 ",$0 ,$0 ,$0 ,"$84,900 ",$0 ,"$339,600 ",$0 
CO,2005,99818605,CO DEPARTMENT OF PUBLIC HEALTH & ENVIRONMENT,$0 ,3,Neighborhood Water Stewardship Program,"$25,000 ",$0 ,"$25,000 ",$0 ,"$50,000 ",$0 ,$0 ,$0 ,"$13,000 ",$0 ,"$63,000 ",$0 
CO,2005,99818605,CO DEPARTMENT OF PUBLIC HEALTH & ENVIRONMENT,$0 ,4,NPS Statewide Survey & Newspaper Insert,"$155,000 ",$0 ,"$155,000 ",$0 ,"$310,000 ",$0 ,$0 ,$0 ,"$105,000 ",$0 ,"$415,000 ",$0 
