State,Award Fiscal Year,Grant No,Grantee,319 Obligation Amount,Project Number,Title,319h Base Funds,319h Incremental Funds,Total 319h Funds,Epa Other,Epa Budget,Other Federal,State Funds,State In-Kind,Local Funds,Other Funds,Total Budget,Local In-Kind
AK,2008,96069701,AK DEPT OF ENVIRON CONSERV,$0 ,1,FRPA Region II Effectiveness Monitoring,"$27,190 ",$0 ,"$27,190 ",$0 ,"$54,380 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$54,380 ",$0 
AK,2008,96069701,AK DEPT OF ENVIRON CONSERV,$0 ,2,Little Susitna River Hydrocarbon Evaluation,"$62,582 ",$0 ,"$62,582 ",$0 ,"$125,164 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$125,164 ",$0 
AK,2008,96069701,AK DEPT OF ENVIRON CONSERV,$0 ,3,Stormwater Management Standards and Guidelines,"$90,000 ",$0 ,"$90,000 ",$0 ,"$180,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$180,000 ",$0 
AK,2008,96069701,AK DEPT OF ENVIRON CONSERV,$0 ,4,Granite Creek Recovery and TMDL Implementation,"$24,500 ",$0 ,"$24,500 ",$0 ,"$49,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$49,000 ",$0 
AK,2008,96069701,AK DEPT OF ENVIRON CONSERV,$0 ,5,Stream Temperature Monitoring Network - Cook Inlet,"$70,117 ",$0 ,"$70,117 ",$0 ,"$140,234 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$140,234 ",$0 
AK,2008,96069701,AK DEPT OF ENVIRON CONSERV,$0 ,6,Stormwater Prevention and Water Quality Sampling,"$70,377 ",$0 ,"$70,377 ",$0 ,"$140,754 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$140,754 ",$0 
AK,2008,96069701,AK DEPT OF ENVIRON CONSERV,$0 ,7,Trends Monitoring of Fish Habitat Conditions on Private Timberlands in SE Alaska,"$26,211 ",$0 ,"$26,211 ",$0 ,"$52,422 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$52,422 ",$0 
AK,2008,96069701,AK DEPT OF ENVIRON CONSERV,$0 ,8,Sustainable Trail Design for Aquatic Habitat Protection: Deep Creek and Anchor River Watershed,"$13,500 ",$0 ,"$13,500 ",$0 ,"$27,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$27,000 ",$0 
AK,2008,96069701,AK DEPT OF ENVIRON CONSERV,$0 ,9,Water Quality Monitoring - Kenai River,"$59,143 ",$0 ,"$59,143 ",$0 ,"$118,286 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$118,286 ",$0 
AK,2008,96069701,AK DEPT OF ENVIRON CONSERV,$0 ,10,Extended City of Kenai Stormwater Mapping,"$10,000 ",$0 ,"$10,000 ",$0 ,"$20,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$20,000 ",$0 
AK,2008,96069701,AK DEPT OF ENVIRON CONSERV,$0 ,11,Jewel Lake Fecal Coliform Assessment,"$23,007 ",$0 ,"$23,007 ",$0 ,"$46,014 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$46,014 ",$0 
AK,2008,96069701,AK DEPT OF ENVIRON CONSERV,$0 ,12,Montana Creek Water Quality Monitoring,"$39,010 ",$0 ,"$39,010 ",$0 ,"$78,020 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$78,020 ",$0 
AK,2008,96069701,AK DEPT OF ENVIRON CONSERV,$0 ,13,Lower Kenai River Boat Counts: To augment Petroleum Hydrocarbon Pollution Sampling,"$52,638 ",$0 ,"$52,638 ",$0 ,"$105,276 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$105,276 ",$0 
AK,2008,96069701,AK DEPT OF ENVIRON CONSERV,$0 ,15,FY09 Dutch Harbor and Iliuliuk Harbor Refining Areas of Impairment and Assessing Deleterious Effects to Aquatic Life as Related to Petroleum Pollution,"$91,086 ",$0 ,"$91,086 ",$0 ,"$182,172 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$182,172 ",$0 
AK,2008,96069701,AK DEPT OF ENVIRON CONSERV,$0 ,16,"Lower Kenai River- Sampling Plan, QAPP Development and Water Quality Monitoring as Related to Petroleum Hydrocarbon Pollution","$129,647 ",$0 ,"$129,647 ",$0 ,"$259,294 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$259,294 ",$0 
AK,2008,96069701,AK DEPT OF ENVIRON CONSERV,$0 ,17,Gulkana River and Cordova Eyak Lake Sampling,"$3,000 ","$15,000 ","$18,000 ",$0 ,"$36,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$36,000 ",$0 
AK,2008,96069701,AK DEPT OF ENVIRON CONSERV,$0 ,18,Lower Kenai River Boat Counts: To Augment Petroleum Hydrocarbon Pollution Sampling,"$2,652 ","$24,852 ","$27,504 ",$0 ,"$55,008 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$55,008 ",$0 
AK,2008,96069701,AK DEPT OF ENVIRON CONSERV,$0 ,19,Phase II: Collection of Turbidity Water Quality Data in the Lower Kenai River: To Determine Natural and Anthropogenic Levels of Turbidity,"$3,692 ","$106,417 ","$110,109 ",$0 ,"$220,218 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$220,218 ",$0 
AK,2008,96069701,AK DEPT OF ENVIRON CONSERV,$0 ,20,"Lower Kenai River: Sampling Plan, QAPP Development and Water Quality Monitoring as Related to Petroleum Hydrocarbon Pollution","$3,692 ","$34,172 ","$37,864 ",$0 ,"$75,728 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$75,728 ",$0 
AK,2008,96069701,AK DEPT OF ENVIRON CONSERV,$0 ,21,Big Lake Water Quality Monitoring as Related to Petroleum Hydrocarbon Pollution,"$66,568 ","$55,135 ","$121,703 ",$0 ,"$243,406 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$243,406 ",$0 
AK,2008,96069701,AK DEPT OF ENVIRON CONSERV,$0 ,22,Chena River Lab Analysis,"$13,019 ",$0 ,"$13,019 ",$0 ,"$26,038 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$26,038 ",$0 
AL,2008,99469908,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,1,Administration and Management of the Alabama FY08 Clean Water Act Section 319 Nonpoint Source Grant,"$809,705 ",$0 ,"$809,705 ",$0 ,"$1,619,410 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,619,410 ",$0 
AL,2008,99469908,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,2,Rotational River Basin Approach: Surface Water Quality Assessment of the Southeast Alabama River Basins,"$366,789 ",$0 ,"$366,789 ",$0 ,"$733,578 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$733,578 ",$0 
AL,2008,99469908,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,3,"Surface Water Quality Assessment of the Rivers, Reservoirs, and Tributary Embayments of Southeast Alabama and Water Quality Assessment of the Yellow River Reservoir for Nutrient Criteria and Total Maximum Daily Load Development","$200,217 ",$0 ,"$200,217 ",$0 ,"$400,434 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$400,434 ",$0 
AL,2008,99469908,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,4, Alabama Water Watch A Citizen Volunteer Water Quality Monitoring Program,"$140,000 ",$0 ,"$140,000 ",$0 ,"$280,000 ",$0 ,$0 ,$0 ,$0 ,"$93,339 ","$373,339 ",$0 
AL,2008,99469908,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,5,Water Quality Coordinator and Education Outreach Specialist for the State Soil and Water Conservation Committee ,"$60,000 ",$0 ,"$60,000 ",$0 ,"$120,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$120,000 ",$0 
AL,2008,99469908,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,6,Erosion and Sediment Control on Construction Sites in Urban Areas in AL,"$59,000 ",$0 ,"$59,000 ",$0 ,"$118,000 ",$0 ,$0 ,$0 ,$0 ,"$138,506 ","$256,506 ",$0 
AL,2008,99469908,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,8,Administration and Management of the Alabama FY08 Clean Water Act Section 319 Nonpoint Source Incremental Grant,$0 ,"$286,628 ","$286,628 ",$0 ,"$573,256 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$573,256 ",$0 
AL,2008,99469908,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,11,The Alabama Clean Water Partnership Program,$0 ,"$287,760 ","$287,760 ",$0 ,"$575,520 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$575,520 ",$0 
AL,2008,99469908,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,12,Coosa River Basin TMDL Implementation Project – Etowah and St. Clair Counties ,$0 ,"$499,000 ","$499,000 ",$0 ,"$998,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$998,000 ",$0 
AL,2008,99469908,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,13,Coastal Alabama Water Quality Monitoring: Long Term Trends and Watershed Assessments ,$0 ,"$114,167 ","$114,167 ",$0 ,"$228,334 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$228,334 ",$0 
AL,2008,99469908,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,14,Development and Implementation of Silvicultural Components of Nonpoint Source Watershed Management Plans  ,"$65,000 ",$0 ,"$65,000 ",$0 ,"$130,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$130,000 ",$0 
AL,2008,99469908,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,15,West Flint Creek Watershed Restoration Project,$0 ,"$399,000 ","$399,000 ",$0 ,"$798,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$798,000 ",$0 
AL,2008,99469908,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,16,North River Watershed Management Plan,$0 ,"$10,000 ","$10,000 ",$0 ,"$20,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$20,000 ",$0 
AL,2008,99469908,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,17,Rock and Crooked Creeks Watershed Management Plan,$0 ,"$22,773 ","$22,773 ",$0 ,"$45,546 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$45,546 ",$0 
AL,2008,99469908,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,18,Guess Creek Watershed Restoration Project,$0 ,"$344,972 ","$344,972 ",$0 ,"$689,944 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$689,944 ",$0 
AL,2008,99469908,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,19,Indian Creek Watershed Restoration Project - Phase II,"$123,389 ",$0 ,"$123,389 ",$0 ,"$246,778 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$246,778 ",$0 
AR,2008,99610316,ARKANSAS NATURAL RESOURCES COMMISSION,$0 ,1,Demonstration of Best Management Practices for Urban Stream Corridor Restoration,$0 ,"$59,830 ","$59,830 ",$0 ,"$119,660 ",$0 ,$0 ,$0 ,"$56,125 ",$0 ,"$175,785 ",$0 
AR,2008,99610316,ARKANSAS NATURAL RESOURCES COMMISSION,$0 ,2,Core Program,"$915,932 ","$777,181 ","$1,693,113 ",$0 ,"$3,386,226 ",$0 ,"$676,823 ","$231,772 ",$0 ,"$111,297 ","$4,406,118 ",$0 
AR,2008,99610316,ARKANSAS NATURAL RESOURCES COMMISSION,$0 ,3,A Comprehensive Watershed Response Modeling for 12-digit Hydrologic Unit Code “HUC” in Selected Priority Watersheds in Arkansas.,$0 ,"$169,106 ","$169,106 ",$0 ,"$338,212 ",$0 ,$0 ,$0 ,"$127,571 ",$0 ,"$465,783 ",$0 
AR,2008,99610316,ARKANSAS NATURAL RESOURCES COMMISSION,$0 ,4,Illinois River Volunteer Monitoring,$0 ,"$25,650 ","$25,650 ",$0 ,"$51,300 ",$0 ,$0 ,$0 ,"$19,350 ",$0 ,"$70,650 ",$0 
AR,2008,99610316,ARKANSAS NATURAL RESOURCES COMMISSION,$0 ,5,Strawberry River Sub Watersheds Project,"$595,769 ",$0 ,"$595,769 ",$0 ,"$1,191,538 ",$0 ,$0 ,$0 ,"$509,519 ",$0 ,"$1,701,057 ",$0 
AR,2008,99610316,ARKANSAS NATURAL RESOURCES COMMISSION,$0 ,6,Demonstrating Runoff Capture from Poultry Houses to Improve Water Quality in 12-Digit HUCs of the Illinois River Watershed,$0 ,"$222,027 ","$222,027 ",$0 ,"$444,054 ",$0 ,$0 ,$0 ,"$171,535 ",$0 ,"$615,589 ",$0 
AR,2008,99610316,ARKANSAS NATURAL RESOURCES COMMISSION,$0 ,7,Arkansas Silvicultural Non-point Source (NPS) Project,"$232,200 ",$0 ,"$232,200 ",$0 ,"$464,400 ",$0 ,$0 ,"$197,800 ",$0 ,$0 ,"$662,200 ",$0 
AR,2008,99610316,ARKANSAS NATURAL RESOURCES COMMISSION,$0 ,8,St. Francis and Lee County Larkin Creek Sediment Prevention Demonstration Project.,"$800,000 ",$0 ,"$800,000 ",$0 ,"$1,600,000 ",$0 ,$0 ,$0 ,"$430,000 ",$0 ,"$2,030,000 ",$0 
AR,2008,99610316,ARKANSAS NATURAL RESOURCES COMMISSION,$0 ,9,Geospatial Inventorying and Optimization Analysis for Best Management Practices (BMPs) in 12-digit HUC subwatersheds in L’Anguille River Watershed.,$0 ,"$87,508 ","$87,508 ",$0 ,"$175,016 ",$0 ,$0 ,"$58,339 ",$0 ,$0 ,"$233,355 ",$0 
AR,2008,99610316,ARKANSAS NATURAL RESOURCES COMMISSION,$0 ,10,Arkansas NPS Management Program Plan 2011-2015,"$487,065 ",$0 ,"$487,065 ",$0 ,"$974,130 ",$0 ,$0 ,"$362,619 ",$0 ,$0 ,"$1,336,749 ",$0 
