State,Award Fiscal Year,Grant No,Grantee,319 Obligation Amount,Project Number,Title,319h Base Funds,319h Incremental Funds,Total 319h Funds,Epa Other,Epa Budget,Other Federal,State Funds,State In-Kind,Local Funds,Other Funds,Total Budget,Local In-Kind
AK,2016,00J84603,AK DEPT OF ENVIRON CONSERV,$0 ,1,Stormwater Analysis on Cottonwood Creek,$0 ,$0 ,"$28,376 ",$0 ,"$28,376 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$28,376 ","$18,918 "
AK,2016,00J84603,AK DEPT OF ENVIRON CONSERV,$0 ,2,Duck Creek Nancy Street Wetland Assessment,$0 ,$0 ,"$9,979 ",$0 ,"$9,979 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$9,979 ","$8,253 "
AK,2016,00J84603,AK DEPT OF ENVIRON CONSERV,$0 ,3,Slowing it Down - Wetland Creation for Sawmill Creek,$0 ,$0 ,"$14,652 ",$0 ,"$14,652 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$14,652 ","$13,202 "
AK,2016,00J84603,AK DEPT OF ENVIRON CONSERV,$0 ,4,Snow Removal Bioswales in Haines,$0 ,$0 ,"$10,863 ",$0 ,"$10,863 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$10,863 ","$85,828 "
AK,2016,00J84603,AK DEPT OF ENVIRON CONSERV,$0 ,5,Assess Existing Waterfowl BMPs on Fish Creek,$0 ,$0 ,"$8,500 ",$0 ,"$8,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$8,500 ","$6,816 "
AK,2016,00J84603,AK DEPT OF ENVIRON CONSERV,$0 ,6,Kenai River Zinc and Copper Pollution Review,$0 ,$0 ,"$14,983 ",$0 ,"$14,983 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$14,983 ","$13,000 "
AK,2016,00J84603,AK DEPT OF ENVIRON CONSERV,$0 ,7,Green Infrastructure Filtration for Odiak Pond,$0 ,$0 ,"$47,891 ",$0 ,"$47,891 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$47,891 ","$32,354 "
AK,2016,00J84603,AK DEPT OF ENVIRON CONSERV,$0 ,8,Clean Boating in the Susitna Valley and Cook Inlet,$0 ,$0 ,"$30,500 ",$0 ,"$30,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$30,500 ","$20,869 "
AK,2016,00J84603,AK DEPT OF ENVIRON CONSERV,$0 ,9,Green Streets and Noyes Slough Assessment,$0 ,$0 ,"$10,500 ",$0 ,"$10,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$10,500 ","$7,049 "
AK,2016,00J84603,AK DEPT OF ENVIRON CONSERV,$0 ,10,Cuddy Park Ponds Rehabilitation,$0 ,$0 ,"$30,000 ",$0 ,"$30,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$30,000 ","$36,365 "
AK,2016,00J84603,AK DEPT OF ENVIRON CONSERV,$0 ,11,Protecting Healthy Waters in the Mat-Su Basin,$0 ,$0 ,"$18,931 ",$0 ,"$18,931 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$18,931 ","$12,621 "
AK,2016,00J84603,AK DEPT OF ENVIRON CONSERV,$0 ,12,Goldstream Creek Education and Outreach to Miners,$0 ,$0 ,"$8,764 ",$0 ,"$8,764 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$8,764 ","$7,965 "
AK,2016,00J84603,AK DEPT OF ENVIRON CONSERV,$0 ,13,DEC NPS Staff Time: Project Implementation,$0 ,$0 ,"$264,494 ",$0 ,"$264,494 ",$0 ,"$68,636 ",$0 ,$0 ,$0 ,"$333,130 ",$0 
AK,2016,00J84603,AK DEPT OF ENVIRON CONSERV,$0 ,14,Southeast Alaska Water Quality Data Inventory,$0 ,$0 ,"$23,000 ",$0 ,"$23,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$23,000 ","$15,333 "
AK,2016,00J84603,AK DEPT OF ENVIRON CONSERV,$0 ,15,DEC NPS Staff Time: Program Work,$0 ,$0 ,"$1,354,055 ",$0 ,"$1,354,055 ",$0 ,"$351,377 ",$0 ,$0 ,$0 ,"$1,705,432 ",$0 
AK,2016,00J84603,AK DEPT OF ENVIRON CONSERV,$0 ,16,"Duck Creek Nancy Street Wetland Assessment, Year 2",$0 ,$0 ,"$9,997 ",$0 ,"$9,997 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$9,997 ","$7,459 "
AK,2016,00J84603,AK DEPT OF ENVIRON CONSERV,$0 ,17,Integrated Report Technical Support,$0 ,$0 ,"$14,933 ",$0 ,"$14,933 ",$0 ,"$5,233 ",$0 ,$0 ,$0 ,"$20,166 ",$0 
AK,2016,00J84603,AK DEPT OF ENVIRON CONSERV,$0 ,18,Stormwater Analysis on Wasilla Creek,$0 ,$0 ,"$7,500 ",$0 ,"$7,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$7,500 ","$5,000 "
AK,2016,00J84603,AK DEPT OF ENVIRON CONSERV,$0 ,19,GIS Mapping of On-site Disposal Systems along Cottonwood Creek,$0 ,$0 ,"$5,119 ",$0 ,"$5,119 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$5,119 ","$3,440 "
AK,2016,00J84603,AK DEPT OF ENVIRON CONSERV,$0 ,20,Deshka River Total Aromatic Hydrocarbon (TAH) Sampling,$0 ,$0 ,"$35,000 ",$0 ,"$35,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$35,000 ","$23,652 "
AK,2016,00J84603,AK DEPT OF ENVIRON CONSERV,$0 ,21,Evaluate FC Data for 2 Anchorage Watersheds,$0 ,$0 ,"$12,969 ",$0 ,"$12,969 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$12,969 ","$9,056 "
AK,2016,00J84603,AK DEPT OF ENVIRON CONSERV,$0 ,22,Lower Anchor River Streambank Stabilization,$0 ,$0 ,"$11,095 ",$0 ,"$11,095 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$11,095 ","$7,934 "
AK,2016,00J84603,AK DEPT OF ENVIRON CONSERV,$0 ,23,Where does it go? Stormwater Mapping in the Haines Townsite,$0 ,$0 ,"$2,531 ",$0 ,"$2,531 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,531 ","$2,216 "
AK,2016,00J84603,AK DEPT OF ENVIRON CONSERV,$0 ,24,2018 Kenai River Boat Count and Analysis and Turbidity Monitoring,$0 ,$0 ,"$6,418 ",$0 ,"$6,418 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$6,418 ","$1,604 "
AK,2016,00J84603,AK DEPT OF ENVIRON CONSERV,$0 ,25,Outreach on Controlling Urban Runoff to Cottonwood Creek,$0 ,$0 ,"$8,200 ",$0 ,"$8,200 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$8,200 ","$6,652 "
AK,2016,00J84603,AK DEPT OF ENVIRON CONSERV,$0 ,26,"Green Infrastructure at the Botanical Garden, Fairbanks",$0 ,$0 ,"$7,000 ",$0 ,"$7,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$7,000 ","$5,800 "
AL,2016,96464617,AL DEPT OF ENVIRONMENTAL MANAGEMENT,"$3,154,600 ",1,Administration and Management of Alabama’s FY2017 Clean Water Act Section 319 Nonpoint Source Program Funds,$0 ,$0 ,"$766,742 ",$0 ,"$766,742 ",$0 ,$0 ,"$511,161 ",$0 ,$0 ,"$1,277,903 ",$0 
AL,2016,96464617,AL DEPT OF ENVIRONMENTAL MANAGEMENT,"$3,154,600 ",2,Statewide Surface Water Quality Monitoring of Priority Wadeable Streams and Rivers ,$0 ,$0 ,"$338,380 ",$0 ,"$338,380 ",$0 ,$0 ,"$225,587 ",$0 ,$0 ,"$563,967 ",$0 
AL,2016,96464617,AL DEPT OF ENVIRONMENTAL MANAGEMENT,"$3,154,600 ",3,"Surface Water Quality Assessment of Rivers, Reservoirs and Tributary Embayments on a Statewide Rotation",$0 ,$0 ,"$176,776 ",$0 ,"$176,776 ",$0 ,$0 ,"$117,851 ",$0 ,$0 ,"$294,627 ",$0 
AL,2016,96464617,AL DEPT OF ENVIRONMENTAL MANAGEMENT,"$3,154,600 ",4,Alabama Coastal Nonpoint Pollution Control Program (Phase IV: Coastal Alabama Onsite Septage Inspection Project),$0 ,$0 ,"$100,000 ",$0 ,"$100,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$100,000 ","$66,667 "
AL,2016,96464617,AL DEPT OF ENVIRONMENTAL MANAGEMENT,"$3,154,600 ",5,Holistic Management Approach to Protecting and Restoring Watershed Health and Improving Water Quality with the Development of Watershed Management Plans,$0 ,$0 ,"$245,402 ",$0 ,"$245,402 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$245,402 ","$163,601 "
AL,2016,96464617,AL DEPT OF ENVIRONMENTAL MANAGEMENT,"$3,154,600 ",6,Tiawasee Creek Sub-Watershed Management and Restoration Project,$0 ,$0 ,"$542,928 ",$0 ,"$542,928 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$542,928 ","$361,952 "
AL,2016,96464617,AL DEPT OF ENVIRONMENTAL MANAGEMENT,"$3,154,600 ",7,Parking Lot Bioswale Implementations of USA Campus in the Upper Three Mile Creek Watershed,$0 ,$0 ,"$152,339 ",$0 ,"$152,339 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$152,339 ","$101,560 "
AL,2016,96464617,AL DEPT OF ENVIRONMENTAL MANAGEMENT,"$3,154,600 ",8,Mill Creek Watershed Restoration Project - Phase 3,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
AL,2016,96464617,AL DEPT OF ENVIRONMENTAL MANAGEMENT,"$3,154,600 ",9,Graves Creek Watershed Management Plan Implementation- Phase 2,$0 ,$0 ,"$250,250 ",$0 ,"$250,250 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$250,250 ","$166,833 "
AL,2016,96464617,AL DEPT OF ENVIRONMENTAL MANAGEMENT,"$3,154,600 ",10,Crowdabout Creek Phase III Watershed Implementation Project,$0 ,$0 ,"$160,300 ",$0 ,"$160,300 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$160,300 ","$206,594 "
AL,2016,96464617,AL DEPT OF ENVIRONMENTAL MANAGEMENT,"$3,154,600 ",11,D’Olive Creek Sub-Watershed Management Project at Stream Segments DAF-1 and DAF-1A,$0 ,$0 ,"$195,858 ",$0 ,"$195,858 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$195,858 ","$130,572 "
