State,Award Fiscal Year,Grant No,Grantee,Project Number,Title,State Wide Project,Primary Functional Category,Category Of Pollution,TMDL,Total 319h Funds,Has Pollutant Data,Current Status,Project Start,Project End
AK,2007,99098706,AK DEPT OF ENVIRON CONSERV,34, Cottonwood Creek Temperature & Fecal Coliform Bacteria Evaluation,No,"Other Restoration/Protection/Prevention
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$26,658 ",No,,Did start on 07/01/2007,Completed on 06/30/2008
AK,2007,99098706,AK DEPT OF ENVIRON CONSERV,35,Water Quality Evaluation of the Lower Little Susitna River,No,"Other Water Quality Assessment /Monitoring
",Marinas and Recreational Boating; Other NPS Pollution; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$55,815 ",No,,Did start on 07/01/2007,Completed on 06/30/2008
AK,2007,99098706,AK DEPT OF ENVIRON CONSERV,36,Hydrocarbon Monitoring of the Kenai River Watershed,No,"Other Water Quality Assessment /Monitoring
",Marinas and Recreational Boating,NOT APPLICABLE (NA),"$28,488 ",No,,Did start on 07/01/2007,Completed on 06/30/2008
AK,2007,99098706,AK DEPT OF ENVIRON CONSERV,37,Action Steps Toward Greater Protection of Lower Kenai Peninsula Streams,No,"Watershed Management Planning
",Other NPS Pollution; Silviculture; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$51,800 ",No,,Did start on 07/01/2007,Completed on 06/30/2008
AK,2007,99098706,AK DEPT OF ENVIRON CONSERV,38,Fecal Coliform and Water Quality Assessment of Lower Nushagak River,No,"Fisheries Projects
Water Quality Problem Identification
",Other NPS Pollution,NOT APPLICABLE (NA),"$25,575 ",No,,Did start on 07/01/2007,Completed on 06/30/2008
AK,2007,99098706,AK DEPT OF ENVIRON CONSERV,39,Gulkana River Water Quality & Habitat Assessment and Eyak Lake Stormwater Actions,No,"Stormwater Management Planning
",Other NPS Pollution; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$61,538 ",No,,Did start on 07/01/2007,Completed on 06/30/2008
AK,2007,99098706,AK DEPT OF ENVIRON CONSERV,40,Jordan Creek Monitoring & Watershed Recovery Strategy,No,"Sediment Control
Other Water Quality Assessment /Monitoring
",Land Disposal/Storage/Treatment; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$78,582 ",No,,Did start on 07/01/2007,Completed on 06/30/2008
AK,2007,99098706,AK DEPT OF ENVIRON CONSERV,41,Vanderbilt Creek Monitoring and Sediment Reduction Plan,No,"Sediment Control
Water Quality Problem Identification
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$28,232 ",No,,Did start on 07/01/2007,Completed on 06/30/2008
AK,2007,99098706,AK DEPT OF ENVIRON CONSERV,42,Stormwater Mapping Partnership for the City of Kenai,No,"Stormwater Management Planning
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$52,293 ",No,,Did start on 07/01/2007,Completed on 06/30/2008
AK,2007,99098706,AK DEPT OF ENVIRON CONSERV,43,Granite Creek Recovery & TMDL Implementation,No,"Sediment Control
Other Water Quality Assessment /Monitoring
BMP Effectiveness Monitoring
",Resource Extraction,Implementing a TMDL,"$22,250 ",No,,Did start on 07/01/2007,Completed on 06/30/2008
