State,Award Fiscal Year,Grant No,Grantee,Project Number,Title,State Wide Project,Primary Functional Category,Category Of Pollution,TMDL,Total 319h Funds,Has Pollutant Data,Current Status,Project Start,Project End
AK,2004,97077401,ADEC - AK DEPT OF ENVIRON CONSERV,58,Hydrologic Monitoring & Evaluation of Shaw Creek W/S,No,"Other Restoration/Protection/Prevention
",Construction; Other NPS Pollution; Resource Extraction; Silviculture,NOT APPLICABLE (NA),"$72,346 ",No,,Did start on 07/01/2004,Completed on 06/30/2006
AK,2004,97077401,ADEC - AK DEPT OF ENVIRON CONSERV,59,Cottonwood Creek TMDL Development - Residue,No,"Other Restoration/Protection/Prevention
",Hydromodification; Land Disposal/Storage/Treatment; Other NPS Pollution; Urban Runoff/Stormwater,Developing a TMDL,"$37,068 ",No,,Did start on 07/01/2004,Completed on 06/30/2006
AK,2004,97077401,ADEC - AK DEPT OF ENVIRON CONSERV,60,Granite Creek Recovery & TMDL Implementation,No,"Other Restoration/Protection/Prevention
",Land Disposal/Storage/Treatment; Turf Management,Implementing a TMDL,"$24,850 ",No,,Did start on 07/01/2004,Completed on 06/30/2006
AK,2004,97077401,ADEC - AK DEPT OF ENVIRON CONSERV,61,Swan Lake Protection and Restoration,No,"Other Restoration/Protection/Prevention
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$12,281 ",No,,Did start on 07/01/2004,Completed on 06/30/2006
AK,2004,97077401,ADEC - AK DEPT OF ENVIRON CONSERV,62,Real-Time Water Quality Monitoring in the Anchor River Watershed,No,"Other Restoration/Protection/Prevention
",Construction; Hydromodification; Other NPS Pollution; Resource Extraction; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$24,000 ",No,,Did start on 07/01/2004,Completed on 06/30/2006
AK,2004,97077401,ADEC - AK DEPT OF ENVIRON CONSERV,63,Coordinated Baseline Assessment for the Copper River Watershed,No,"Other Restoration/Protection/Prevention
",Other NPS Pollution; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$63,499 ",No,,Did start on 07/01/2004,Completed on 06/30/2006
AK,2004,97077401,ADEC - AK DEPT OF ENVIRON CONSERV,64,Protecting Lower Kenai Peninsula Salmon Streams,No,"Other Restoration/Protection/Prevention
",Construction; Other NPS Pollution; Resource Extraction; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$56,587 ",No,,Did start on 07/01/2004,Completed on 06/30/2006
AK,2004,97077401,ADEC - AK DEPT OF ENVIRON CONSERV,65,Lower Kenai River Outreach & Monitoring,No,"Other Restoration/Protection/Prevention
",Marinas and Recreational Boating; Other NPS Pollution; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$46,175 ",No,,Did start on 07/01/2004,Completed on 06/30/2006
AK,2004,97077401,ADEC - AK DEPT OF ENVIRON CONSERV,66,Culvert Inventory & Assessment  Mat - Su,No,"Other Restoration/Protection/Prevention
",Hydromodification; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$13,000 ",No,,Did start on 07/01/2004,Completed on 06/30/2006
AK,2004,97077401,ADEC - AK DEPT OF ENVIRON CONSERV,67,Duck and Jordan Creek Watershed Recovery,No,"Other Restoration/Protection/Prevention
",Other NPS Pollution; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$23,550 ",No,,Did start on 07/01/2004,Completed on 06/30/2006
AK,2004,97077401,ADEC - AK DEPT OF ENVIRON CONSERV,68,Mendenhall Watershed Priority Stewardship FY05,No,"Other Restoration/Protection/Prevention
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$8,922 ",No,,Did start on 07/01/2004,Completed on 06/30/2006
AK,2004,97077401,ADEC - AK DEPT OF ENVIRON CONSERV,69,Pederson Hill Creek Watershed Assessment Report FY05,No,"Other Restoration/Protection/Prevention
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$14,451 ",No,,Did start on 07/01/2004,Completed on 06/30/2006
AK,2004,97077401,ADEC - AK DEPT OF ENVIRON CONSERV,70,Pullen Creek Assessment & Skagway Harbor Assessment,No,"Other Restoration/Protection/Prevention
",Construction; Historical Pollutants; Other NPS Pollution; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$46,634 ",No,,Did start on 07/01/2004,Completed on 06/30/2006
AK,2004,97077401,ADEC - AK DEPT OF ENVIRON CONSERV,79,Measuring the Effectiveness of Storm Water BMPs for Airports- Phase 2,No,"Stormwater Management Planning
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$29,672 ",No,,Did start on 07/01/2004,Completed on 06/30/2006
AK,2004,97077401,ADEC - AK DEPT OF ENVIRON CONSERV,80,Matanuaska River Debris Site Assessment and Debris Removal and Disposal Plan - Revised,No,"Other Water Quality Assessment /Monitoring
",Land Disposal/Storage/Treatment; Other NPS Pollution; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$50,950 ",No,,Did start on 07/01/2004,Completed on 06/30/2006
AK,2004,97077401,ADEC - AK DEPT OF ENVIRON CONSERV,81,Lucille Lake and Big Lake Water Quality Monitoring,No,"Other Water Quality Assessment /Monitoring
",Construction; Marinas and Recreational Boating; Other NPS Pollution; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$109,684 ",No,,Did start on 07/01/2004,Completed on 06/30/2006
AK,2004,97077401,ADEC - AK DEPT OF ENVIRON CONSERV,82,Measuring the Effectiveness of Storm Water BMPs for Airports,Yes,"Stormwater Management Planning
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$123,375 ",No,,Did start on 07/01/2004,Completed on 06/30/2006
AK,2004,99098705,AK DEPT OF ENVIRON CONSERV,57,Lower Nushagak River Fecal Coliform Assessment,No,"Other Restoration/Protection/Prevention
",Land Disposal/Storage/Treatment; Other NPS Pollution,NOT APPLICABLE (NA),"$24,175 ",No,,Did start on 07/01/2004,Completed on 06/30/2007
AK,2004,99098705,AK DEPT OF ENVIRON CONSERV,58,Cottonwood Creek Water Quality Monitoring,No,"Other Restoration/Protection/Prevention
",Hydromodification; Other NPS Pollution; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$38,531 ",No,,Did start on 07/01/2004,Completed on 06/30/2007
AK,2004,99098705,AK DEPT OF ENVIRON CONSERV,59,Montana Creek Impact Assessment,No,"Other Restoration/Protection/Prevention
",Construction; Historical Pollutants; Other NPS Pollution; Turf Management; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$41,584 ",No,,Did start on 07/01/2004,Completed on 06/30/2007
AK,2004,99098705,AK DEPT OF ENVIRON CONSERV,60,Granite Creek Recovery & TMDL Implementation,No,"Other Restoration/Protection/Prevention
",Land Disposal/Storage/Treatment; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$19,100 ",No,,Did start on 07/01/2004,Completed on 06/30/2007
AK,2004,99098705,AK DEPT OF ENVIRON CONSERV,61,Online Water Quality Monitoring in the Anchor River,No,"Other Restoration/Protection/Prevention
",Construction; Hydromodification; Other NPS Pollution; Resource Extraction; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$51,750 ",No,,Did start on 07/01/2004,Completed on 06/30/2007
AK,2004,99098705,AK DEPT OF ENVIRON CONSERV,62,Copper River Watershed Assessment,No,"Other Restoration/Protection/Prevention
",Other NPS Pollution; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$33,292 ",No,,Did start on 07/01/2004,Completed on 06/30/2007
AK,2004,99098705,AK DEPT OF ENVIRON CONSERV,63,Protecting Lower Kenai Peninsula's Salmon Streams,No,"Other Restoration/Protection/Prevention
",Hydromodification; Other NPS Pollution; Resource Extraction; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$90,500 ",No,,Did start on 07/01/2004,Completed on 06/30/2007
AK,2004,99098705,AK DEPT OF ENVIRON CONSERV,64,Lower Kenai River Outreach & Monitoring,No,"Other Restoration/Protection/Prevention
",Marinas and Recreational Boating; Other NPS Pollution; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$41,575 ",No,,Did start on 07/01/2004,Completed on 06/30/2007
AK,2004,99098705,AK DEPT OF ENVIRON CONSERV,65,"Duck Creek Monitoring, Cleanup & Culvert Replacement",No,"Other Restoration/Protection/Prevention
",Construction; Historical Pollutants; Hydromodification; Other NPS Pollution; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$18,444 ",No,,Did start on 07/01/2004,Completed on 06/30/2007
AK,2004,99098705,AK DEPT OF ENVIRON CONSERV,66,Jordan Creek Watershed Recovery,No,"Other Restoration/Protection/Prevention
",Construction; Historical Pollutants; Hydromodification; Other NPS Pollution; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$19,923 ",No,,Did start on 07/01/2004,Completed on 06/30/2007
AK,2004,99098705,AK DEPT OF ENVIRON CONSERV,67,Pederson Hill Creek Restoration,No,"Other Restoration/Protection/Prevention
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$9,619 ",No,,Did start on 07/01/2004,Completed on 06/30/2007
AK,2004,99098705,AK DEPT OF ENVIRON CONSERV,68,Skagway Stormwater Mapping,No,"Other Restoration/Protection/Prevention
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$21,772 ",No,,Did start on 07/01/2004,Completed on 06/30/2007
AK,2004,99098705,AK DEPT OF ENVIRON CONSERV,69,Pullen Creek Restoration,No,"Other Restoration/Protection/Prevention
",Construction; Historical Pollutants; Other NPS Pollution; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$40,992 ",No,,Did start on 07/01/2004,Completed on 06/30/2007
AK,2004,99098705,AK DEPT OF ENVIRON CONSERV,70,ATV Impact Planning on Montana Creek,No,"Other Restoration/Protection/Prevention
",Other NPS Pollution,NOT APPLICABLE (NA),"$19,248 ",No,,Did start on 07/01/2004,Completed on 06/30/2007
