State,Award Fiscal Year,Grant No,Grantee,Project Number,Title,State Wide Project,Primary Functional Category,Category Of Pollution,TMDL,Total 319h Funds,Has Pollutant Data,Current Status,Project Start,Project End
AK,2001,99098701,ADEC - AK DEPT OF ENVIRON CONSERV,3,YRC  Peninsula Restoration Project,No,"Stream Bank Stabilization
Statewide Education/Information Programs
",All Sources,NOT APPLICABLE (NA),"$35,500 ",No,Completed,Did start on 07/01/2000,Completed on 06/30/2001
AK,2001,99098701,ADEC - AK DEPT OF ENVIRON CONSERV,4,Cook Inlet Watershed Health Monitoring,No,"Water Quality Trend Assessment
Other Water Quality Assessment /Monitoring
",All Sources,NOT APPLICABLE (NA),"$120,000 ",No,Completed,Did start on 07/01/2000,Completed on 06/30/2001
AK,2001,99098701,ADEC - AK DEPT OF ENVIRON CONSERV,5,Fish Habitat Restoration Copper Basin,No,"Erosion Control Projects
",All Sources,NOT APPLICABLE (NA),"$15,074 ",No,Completed,Did start on 07/01/2000,Completed on 06/30/2001
AK,2001,99098701,ADEC - AK DEPT OF ENVIRON CONSERV,6,Mat-Su Borough Water Quality Monitoring Program,No,"Program Development Activities
",All Sources,NOT APPLICABLE (NA),"$31,855 ",No,Completed,Did start on 07/01/2000,Completed on 06/30/2001
AK,2001,99098701,ADEC - AK DEPT OF ENVIRON CONSERV,7,Fairbanks Stormwater Management Development,No,"Stormwater Management Planning
",All Sources,NOT APPLICABLE (NA),"$165,000 ",No,Completed,Did start on 07/01/2000,Completed on 06/30/2001
AK,2001,99098701,ADEC - AK DEPT OF ENVIRON CONSERV,8,Anchorage Watershed Outreach,No,"Other Restoration/Protection/Prevention
",All Sources,NOT APPLICABLE (NA),"$65,100 ",No,Completed,Did start on 07/01/2000,Completed on 06/30/2001
AK,2001,99098701,ADEC - AK DEPT OF ENVIRON CONSERV,9,Kodiak Urban Lakes Water Quality Assessment,No,"Water Quality Trend Assessment
",All Sources,NOT APPLICABLE (NA),"$29,700 ",No,Completed,Did start on 07/01/2000,Completed on 06/30/2001
AK,2001,99098701,ADEC - AK DEPT OF ENVIRON CONSERV,10,Yukon River Watershed Environmental Education,No,"Program Development Activities
",All Sources,NOT APPLICABLE (NA),"$45,000 ",No,Completed,Did start on 07/01/2000,Completed on 06/30/2001
AK,2001,99098701,ADEC - AK DEPT OF ENVIRON CONSERV,11,Swan Lake Watershed Restoration,No,"Sediment Control
BMP Effectiveness Monitoring
",All Sources,NOT APPLICABLE (NA),"$43,500 ",No,Completed,Did start on 07/01/2000,Completed on 06/30/2001
AK,2001,99098701,ADEC - AK DEPT OF ENVIRON CONSERV,12,Mendenhall Watershed Partnership,No,"Program Development Activities
",All Sources,NOT APPLICABLE (NA),"$75,600 ",No,Completed,Did start on 07/01/2000,Completed on 06/30/2001
