State,Award Fiscal Year,Grant No,Grantee,Project Number,Title,State Wide Project,Primary Functional Category,Category Of Pollution,TMDL,Total 319h Funds,Has Pollutant Data,Current Status,Project Start,Project End
AK,2000,99098700,ADEC - AK DEPT OF ENVIRON CONSERV,1,Matanuska-Susitna Borough Water Quality Monitoring Program,No,"Water Quality Trend Assessment
Water Quality Problem Identification
BMP Effectiveness Monitoring
Groundwater (all groundwater activities)
",Other NPS Pollution; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$21,000 ",No,,Did start on 07/01/1999,Completed on 06/30/2000
AK,2000,99098700,ADEC - AK DEPT OF ENVIRON CONSERV,2,Fairbanks Storm Water Project,No,"Stormwater Discharge Design/ Control
Stormwater Management Planning
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$131,500 ",No,,Did start on 07/01/1999,Completed on 06/30/2000
AK,2000,99098700,ADEC - AK DEPT OF ENVIRON CONSERV,3,Anchorage Watershed Outreach,No,"Local (Specific Target) Education/Information Programs
BMP Effectiveness Monitoring
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$71,900 ",No,,Did start on 07/01/1999,Completed on 06/30/2000
AK,2000,99098700,ADEC - AK DEPT OF ENVIRON CONSERV,4,Kodiak Urban Lakes Water Quality Assessment,No,"Watershed Assessments
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$40,000 ",No,,Did start on 07/01/1999,Completed on 06/30/2000
AK,2000,99098700,ADEC - AK DEPT OF ENVIRON CONSERV,5,Conservation on the Kenai,No,"Local (Specific Target) Education/Information Programs
Other Planning
",Other NPS Pollution,NOT APPLICABLE (NA),"$17,000 ",No,,Did start on 07/01/1999,Completed on 06/30/2000
AK,2000,99098700,ADEC - AK DEPT OF ENVIRON CONSERV,6,Swan Lake Watershed Restoration Study,No,"Corrective Action (other than BMP implementation)
Other Planning
Riparian Assessment/ Monitoring
BMP Effectiveness Monitoring
",All Sources,NOT APPLICABLE (NA),"$26,900 ",No,,Did start on 07/01/1999,Completed on 06/30/2000
AK,2000,99098700,ADEC - AK DEPT OF ENVIRON CONSERV,7,Mendenhall Watershed Partnership,No,"Local (Specific Target) Education/Information Programs
Other Planning
Wetland Assessment/ Monitoring
Water Quality Trend Assessment
Water Quality Problem Identification
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$90,000 ",No,,Did start on 07/01/1999,Completed on 06/30/2000
AK,2000,99098700,ADEC - AK DEPT OF ENVIRON CONSERV,8,Noyes Slough Restoration Project,No,"Local (Specific Target) Education/Information Programs
Other Water Quality Assessment /Monitoring
",Other NPS Pollution; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$20,500 ",No,,Did start on 07/01/1999,Completed on 06/30/2000
AK,2000,99098700,ADEC - AK DEPT OF ENVIRON CONSERV,9,Buffer Zones and LWD Supply,No,"Riparian Projects
Statewide Education/Information Programs
Riparian Assessment/ Monitoring
BMP Effectiveness Monitoring
",Silviculture,NOT APPLICABLE (NA),"$86,667 ",No,,Did start on 07/01/1999,Completed on 06/30/2000
AK,2000,99098700,ADEC - AK DEPT OF ENVIRON CONSERV,10,Little Susitna and Cottonwood Creek Project,No,"BMP Design/Implementation
Local (Specific Target) Education/Information Programs
Water Quality Trend Assessment
Water Quality Problem Identification
Other Water Quality Assessment /Monitoring
BMP Effectiveness Monitoring
",Other NPS Pollution; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$32,500 ",No,,Did start on 07/01/1999,Completed on 06/30/2000
AK,2000,99098700,ADEC - AK DEPT OF ENVIRON CONSERV,11,Design of Large Woody Debris Sources and Transport Study,Yes,"Riparian Projects
Local (Specific Target) Education/Information Programs
Other Planning
Riparian Assessment/ Monitoring
BMP Effectiveness Monitoring
",All Sources; Silviculture,NOT APPLICABLE (NA),"$28,500 ",No,,Did start on 07/01/1999,Completed on 06/30/2000
AK,2000,99098700,ADEC - AK DEPT OF ENVIRON CONSERV,12,Awareness of Kenai River Tributaries,No,"Local (Specific Target) Education/Information Programs
",Other NPS Pollution; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$20,000 ",No,,Did start on 07/01/1999,Completed on 06/30/2000
AK,2000,99098700,ADEC - AK DEPT OF ENVIRON CONSERV,13,It Takes a Watershed to Raise A Salmon,No,"Statewide Education/Information Programs
BMP Effectiveness Monitoring
",Silviculture,NOT APPLICABLE (NA),"$59,946 ",No,,Did start on 07/01/1999,Completed on 06/30/2000
AK,2000,99098700,ADEC - AK DEPT OF ENVIRON CONSERV,23,Potter Marsh Watershed Project,No,"Local (Specific Target) Education/Information Programs
BMP Effectiveness Monitoring
",Turf Management; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$35,000 ",No,,Did start on 07/01/1999,Completed on 06/30/2000
AK,2000,99098700,ADEC - AK DEPT OF ENVIRON CONSERV,24,Duck Creek Restoration Project,No,"Corrective Action (other than BMP implementation)
Vegetation Management/Revegetation
Stream Bank Stabilization
Local (Specific Target) Education/Information Programs
BMP Effectiveness Monitoring
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$127,229 ",No,,Did start on 07/01/1999,Completed on 06/30/2000
AK,2000,99098700,ADEC - AK DEPT OF ENVIRON CONSERV,25,Anchorage Wetlands Watch,No,"Local (Specific Target) Education/Information Programs
",Other NPS Pollution,NOT APPLICABLE (NA),"$45,000 ",No,,Did start on 07/01/1999,Completed on 06/30/2000
AK,2000,99098700,ADEC - AK DEPT OF ENVIRON CONSERV,27,"Russian River Restoration Project, Phase 3",No,"Vegetation Management/Revegetation
Stream Bank Stabilization
",Other NPS Pollution,NOT APPLICABLE (NA),"$20,000 ",No,,Did start on 07/01/1999,Completed on 06/30/2000
AK,2000,99098700,ADEC - AK DEPT OF ENVIRON CONSERV,28,Little Susitna River Restoration Project,No,"Vegetation Management/Revegetation
BMP Effectiveness Monitoring
",All Sources,NOT APPLICABLE (NA),"$29,933 ",No,,Did start on 07/01/1999,Completed on 06/30/2000
AK,2000,99098700,ADEC - AK DEPT OF ENVIRON CONSERV,29,Cook Inlet Watershed Health Monitoring,Yes,"Local (Specific Target) Education/Information Programs
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$120,000 ",No,,Did start on 07/01/1999,Completed on 06/30/2000
AK,2000,99098700,ADEC - AK DEPT OF ENVIRON CONSERV,30,Watershed Analysis and Riparian Restoration,No,"Vegetation Management/Revegetation
Riparian Projects
Local (Specific Target) Education/Information Programs
BMP Effectiveness Monitoring
",All Sources,NOT APPLICABLE (NA),"$25,990 ",No,,Did start on 07/01/1999,Completed on 06/30/2000
