State,Award Fiscal Year,Grant No,Grantee,Project Number,Title,State Wide Project,Primary Functional Category,Category Of Pollution,TMDL,Total 319h Funds,Has Pollutant Data,Current Status,Project Start,Project End
AK,2008,96069701,AK DEPT OF ENVIRON CONSERV,1,FRPA Region II Effectiveness Monitoring,No,"BMP Effectiveness Monitoring
",Silviculture,NOT APPLICABLE (NA),"$27,190 ",No,,Did start on 07/01/2008,Completed on 06/30/2009
AK,2008,96069701,AK DEPT OF ENVIRON CONSERV,2,Little Susitna River Hydrocarbon Evaluation,No,"Assessments for Compliance with Water Quality Standards
Biological Monitoring
",Marinas and Recreational Boating,NOT APPLICABLE (NA),"$62,582 ",No,,Did start on 07/01/2008,Completed on 06/30/2009
AK,2008,96069701,AK DEPT OF ENVIRON CONSERV,3,Stormwater Management Standards and Guidelines,No,"Stormwater Discharge Design/ Control
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$90,000 ",No,,Did start on 07/01/2008,Completed on 06/30/2009
AK,2008,96069701,AK DEPT OF ENVIRON CONSERV,4,Granite Creek Recovery and TMDL Implementation,No,"BMP Design/Implementation
Sediment Control
BMP Effectiveness Monitoring
",Resource Extraction,Implementing a TMDL,"$24,500 ",Yes,,Did start on 07/01/2008,Completed on 06/30/2009
AK,2008,96069701,AK DEPT OF ENVIRON CONSERV,5,Stream Temperature Monitoring Network - Cook Inlet,No,"Other Water Quality Assessment /Monitoring
",Other NPS Pollution,NOT APPLICABLE (NA),"$70,117 ",No,,Did start on 07/01/2008,Completed on 06/30/2009
AK,2008,96069701,AK DEPT OF ENVIRON CONSERV,6,Stormwater Prevention and Water Quality Sampling,No,"Fisheries Projects
Ordinance Development
Stormwater Management Planning
Assessments for Compliance with Water Quality Standards
Biological Monitoring
",Construction; Hydromodification; Marinas and Recreational Boating; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$70,377 ",No,,Did start on 07/01/2008,Completed on 06/30/2009
AK,2008,96069701,AK DEPT OF ENVIRON CONSERV,7,Trends Monitoring of Fish Habitat Conditions on Private Timberlands in SE Alaska,No,"Riparian Assessment/ Monitoring
BMP Effectiveness Monitoring
",Silviculture,NOT APPLICABLE (NA),"$26,211 ",No,,Did start on 07/01/2008,Completed on 06/30/2009
AK,2008,96069701,AK DEPT OF ENVIRON CONSERV,8,Sustainable Trail Design for Aquatic Habitat Protection: Deep Creek and Anchor River Watershed,No,"Sediment Control
Wetland Restoration/Protection
Other Restoration/Protection/Prevention
Watershed Management Planning
",Hydromodification,NOT APPLICABLE (NA),"$13,500 ",No,,Did start on 07/01/2008,Completed on 06/30/2009
AK,2008,96069701,AK DEPT OF ENVIRON CONSERV,9,Water Quality Monitoring - Kenai River,No,"Other Planning
Watershed Planning
Assessments for Compliance with Water Quality Standards
Water Quality Problem Identification
Other Water Quality Assessment /Monitoring
",Hydromodification; Other NPS Pollution,NOT APPLICABLE (NA),"$59,143 ",No,,Did start on 07/01/2008,Completed on 06/30/2009
AK,2008,96069701,AK DEPT OF ENVIRON CONSERV,10,Extended City of Kenai Stormwater Mapping,No,"Stormwater Management Planning
Watershed Management Planning
Water Quality Problem Identification
Watershed Assessments
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$10,000 ",No,,Did start on 07/01/2008,Completed on 06/30/2009
