State,Award Fiscal Year,Grant No,Grantee,Project Number,Title,State Wide Project,Primary Functional Category,Category Of Pollution,TMDL,Total 319h Funds,Has Pollutant Data,Current Status,Project Start,Project End
AK,1998,99098799,ADEC - AK DEPT OF ENVIRON CONSERV,1,"Anchorage Waterways Council, Watershed Outreach",No,"Other Restoration/Protection/Prevention
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$60,000 ",No,,Did start on 07/01/1998,Completed on 07/31/1999
AK,1998,99098799,ADEC - AK DEPT OF ENVIRON CONSERV,2,Mat-Su Watershed Development,No,"Program Development Activities
",Other NPS Pollution; Resource Extraction,NOT APPLICABLE (NA),"$34,500 ",No,,Did start on 07/01/1998,Completed on 06/30/1999
AK,1998,99098799,ADEC - AK DEPT OF ENVIRON CONSERV,3,Fish Habitat Protection via Accelerated Stream Cataloging Under AS 16.05.870,Yes,"Fisheries Projects
",Other NPS Pollution; Silviculture; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$43,972 ",No,,Did start on 07/01/1998,Completed on 06/30/1999
AK,1998,99098799,ADEC - AK DEPT OF ENVIRON CONSERV,4,Potter Marsh Watershed Phase II Project,No,"Wetland Assessment/ Monitoring
Watershed Assessments
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$50,000 ",No,,Did start on 07/01/1998,Completed on 06/30/1999
AK,1998,99098799,ADEC - AK DEPT OF ENVIRON CONSERV,5,Anchorage Wetlands Watch Program,No,"Program Development Activities
Wetland Assessment/ Monitoring
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$60,000 ",No,,Did start on 07/01/1998,Completed on 06/30/1999
AK,1998,99098799,ADEC - AK DEPT OF ENVIRON CONSERV,6,FY99 Master Watershed Stewards Program,Yes,"Wetland Restoration/Protection
Program Development Activities
Riparian Assessment/ Monitoring
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$25,342 ",No,,Did start on 07/01/1998,Completed on 06/30/1999
AK,1998,99098799,ADEC - AK DEPT OF ENVIRON CONSERV,7,Development of Improved Techniques to Reclaim Placer-Mined Watersheds-Phase II,Yes,"Other Restoration/Protection/Prevention
",Resource Extraction,NOT APPLICABLE (NA),"$33,981 ",No,,Did start on 07/01/1998,Completed on 06/30/1999
AK,1998,99098799,ADEC - AK DEPT OF ENVIRON CONSERV,8,Protection of Fish Habitat and Water Quality through implementation of FRPA,Yes,"Riparian Assessment/ Monitoring
BMP Effectiveness Monitoring
",All Sources,NOT APPLICABLE (NA),"$128,536 ",No,,Did start on 07/01/1998,Completed on 06/30/1999
AK,1998,99098799,ADEC - AK DEPT OF ENVIRON CONSERV,9,Protection of Fisheries through Implementation of the Forest Practices Act,Yes,"Fisheries Projects
",Silviculture,NOT APPLICABLE (NA),"$118,500 ",No,,Did start on 10/01/1998,Completed on 06/30/1999
AK,1998,99098799,ADEC - AK DEPT OF ENVIRON CONSERV,10,Alaska Home Stewardship Program,Yes,"Program Development Activities
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$45,529 ",No,,Did start on 01/01/1999,Completed on 06/30/1999
AK,1998,99098799,ADEC - AK DEPT OF ENVIRON CONSERV,11,Alaska Land Decisionmakers Extension Resources (ALDER),Yes,"Program Development Activities
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$42,908 ",No,,Did start on 01/01/1999,Completed on 06/30/1999
AK,1998,99098799,ADEC - AK DEPT OF ENVIRON CONSERV,12,Biological Monitoring and Assessment ,Yes,"Biological Monitoring
",Other NPS Pollution; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$39,990 ",No,,Did start on 03/22/1999,Completed on 06/30/1999
AK,1998,99098799,ADEC - AK DEPT OF ENVIRON CONSERV,13,Copper River Watershed Project,No,"Other Technical Assistance Activity
",Other NPS Pollution; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$5,394 ",No,,Did start on 03/01/1999,Completed on 06/30/1999
AK,1998,99098799,ADEC - AK DEPT OF ENVIRON CONSERV,14,Russian River Restoration Project,No,"Riparian Projects
",Other NPS Pollution,NOT APPLICABLE (NA),"$29,300 ",No,,Did start on 05/26/1999,Completed on 06/30/1999
AL,1998,99469998,AL DEPT OF ENVIRONMENTAL MANAGEMENT,1,Administration and Management,Yes,,All Sources,,"$474,982 ",No,Completed,Did start on 10/01/1997,Will be Completed On 09/30/2004
AL,1998,99469998,AL DEPT OF ENVIRONMENTAL MANAGEMENT,2,Water Quality Assessment of the Tennessee River Basin,No,"TMDLs
Instream Flow Assessments
",All Sources,,"$55,200 ",No,Completed,Did start on 10/01/1997,Completed on 09/30/2004
AL,1998,99469998,AL DEPT OF ENVIRONMENTAL MANAGEMENT,3,Lake Water Quality Assessments in the Black Warrior River Basin,No,"Nutrient Management Planning
Instream Flow Assessments
",All Sources,,"$41,800 ",No,Completed,Did start on 04/23/1998,Completed on 06/30/1998
AL,1998,99469998,AL DEPT OF ENVIRONMENTAL MANAGEMENT,4,Alabama Nonpoint Source Management Program Phase II,Yes,"Nonpoint Source Program Overall Coordination/ Management
",All Sources,,"$17,375 ",No,Completed,Did start on 09/10/1998,Completed on 09/30/1999
AL,1998,99469998,AL DEPT OF ENVIRONMENTAL MANAGEMENT,5,Alabama Ecoregion/Subregion Delineation and Reference Site Selection,No,"Nonpoint Source Program Overall Coordination/ Management
",All Sources,,"$40,000 ",No,Completed,Did start on 07/08/1998,Completed on 07/31/2000
AL,1998,99469998,AL DEPT OF ENVIRONMENTAL MANAGEMENT,6,Alabama Nonpoint Source Education Coordinator,Yes,"Local (Specific Target) Education/Information Programs
Nonpoint Source Program Overall Coordination/ Management
",All Sources,,"$68,500 ",No,Completed,Did start on 08/18/1998,Completed on 09/30/2001
AL,1998,99469998,AL DEPT OF ENVIRONMENTAL MANAGEMENT,7,Alabama NPS Citizen Volunteer Monitoring: The Alabama Water Watch Program,Yes,"Local (Specific Target) Education/Information Programs
Instream Flow Assessments
",All Sources,,"$164,191 ",No,Completed,Did start on 08/10/1998,Completed on 09/30/2001
AL,1998,99469998,AL DEPT OF ENVIRONMENTAL MANAGEMENT,8,Weeks Bay Watershed Project Coordinator (WRAS),No,"Statewide Education/Information Programs
",All Sources,,"$70,430 ",No,Completed,Did start on 07/08/1998,Completed on 09/30/2002
AL,1998,99469998,AL DEPT OF ENVIRONMENTAL MANAGEMENT,9,Nonpoint Source Best Management Practices For Protection of Water Quality Associated With Golf Courses and Sod Farms,Yes,"Statewide Education/Information Programs
Technology Transfer to State/ Local Government
",All Sources; Turf Management,,"$150,548 ",Yes,Completed,Did start on 09/10/1998,Completed on 09/30/2002
AL,1998,99469998,AL DEPT OF ENVIRONMENTAL MANAGEMENT,10,Alabama Envirothon,Yes,"Statewide Education/Information Programs
Nonpoint Source Program Overall Coordination/ Management
",All Sources,,"$30,000 ",No,Completed,Did start on 06/26/1998,Completed on 09/30/2003
AL,1998,99469998,AL DEPT OF ENVIRONMENTAL MANAGEMENT,11,Restoration and Management of Rivers and Watersheds - Applied Fluvial Geomorphology,Yes,"Statewide Education/Information Programs
",All Sources,,"$30,200 ",Yes,Completed,Did start on 09/14/1998,Completed on 12/30/1999
AL,1998,99469998,AL DEPT OF ENVIRONMENTAL MANAGEMENT,12,Sepulga River Watershed Project (WRAS),No,"Nonpoint Source Program Overall Coordination/ Management
",All Sources; Other NPS Pollution,NOT APPLICABLE (NA),"$10,367 ",Yes,Completed,Did start on 08/04/1998,Completed on 09/30/2002
AL,1998,99469998,AL DEPT OF ENVIRONMENTAL MANAGEMENT,13,Choctawhatchee River - Upper Fork Watershed Poject,No,"BMP Design/Implementation
Technology Transfer to State/ Local Government
",All Sources,,"$139,872 ",Yes,On Schedule,Did start on 08/07/1998,Completed on 03/30/2004
AL,1998,99469998,AL DEPT OF ENVIRONMENTAL MANAGEMENT,14,Choccolocco Creek Watershed Project (Phase II),No,"Statewide Education/Information Programs
",All Sources,,"$78,430 ",No,On Schedule,Did start on 06/08/1998,Completed on 09/30/2003
AL,1998,99469998,AL DEPT OF ENVIRONMENTAL MANAGEMENT,15,Planning Environmentally Sustainable Waste Management Systems for a Large Scale Broiler Poultry Company Locating in Southeast Alabama,Yes,"Statewide Education/Information Programs
",Agriculture,,"$44,000 ",Yes,Completed,Did start on 06/26/1998,Completed on 10/30/2001
AL,1998,99469998,AL DEPT OF ENVIRONMENTAL MANAGEMENT,16,Conservation Plan for the Weeks Bay Watershed (WRAS),No,"Water Quality Trend Assessment
Water Quality Problem Identification
",All Sources,,"$27,000 ",No,Completed,Did start on 09/14/1998,Completed on 12/30/1999
AL,1998,99469998,AL DEPT OF ENVIRONMENTAL MANAGEMENT,17,Stormwater and Onsite Wastewater Demonstration for Rural and Urban Areas,No,"Statewide Education/Information Programs
BMP Effectiveness Monitoring
",Land Disposal/Storage/Treatment,,"$20,735 ",No,Completed,Did start on 07/10/1998,Completed on 09/30/2000
AL,1998,99469998,AL DEPT OF ENVIRONMENTAL MANAGEMENT,18,Interactive Storm Water Demonstration Model,No,"Statewide Education/Information Programs
",All Sources,,"$30,000 ",No,Completed,Did start on 07/10/1998,Completed on 09/30/2002
AL,1998,99469998,AL DEPT OF ENVIRONMENTAL MANAGEMENT,19,Utilizing Compost to Reduce Urban Nonpoint Source Pollution,No,"Statewide Education/Information Programs
Local (Specific Target) Education/Information Programs
Nonpoint Source Program Overall Coordination/ Management
",,,"$6,400 ",Yes,Completed,Did start on 06/17/1998,Completed on 12/30/1999
AL,1998,99469998,AL DEPT OF ENVIRONMENTAL MANAGEMENT,20,Utililzing Animal Waste Compost to Reduce Nonpoint Source Pollution,No,"Statewide Education/Information Programs
",Agriculture,,"$31,550 ",Yes,Completed,Did start on 06/17/1998,Completed on 06/30/2001
AL,1998,99469998,AL DEPT OF ENVIRONMENTAL MANAGEMENT,21,Total Maximum Daily Load Development,Yes,"TMDLs
",,,"$250,000 ",No,On Schedule,Did start on 10/01/1997,Will be Completed On 09/30/2004
AL,1998,99469998,AL DEPT OF ENVIRONMENTAL MANAGEMENT,22,Juniper Creek Clean Water Partnership Pollution Prevention Project,No,,,,"$76,620 ",No,Completed,Did start on 07/28/2003,Completed on 09/30/2004
AL,1998,99469998,AL DEPT OF ENVIRONMENTAL MANAGEMENT,23,Community Based Environmental Protection,No,"BMP Design/Implementation
",Agriculture; Construction; Hydromodification; Land Disposal/Storage/Treatment; Silviculture,,"$112,000 ",No,Completed,Did start on 11/08/2000,Completed on 09/30/2004
AL,1998,99469998,AL DEPT OF ENVIRONMENTAL MANAGEMENT,24,Conecuh Sepulga Watershed Management Plan,No,,Agriculture; All Sources,,"$80,000 ",No,Completed,Did start on 09/08/2003,Completed on 09/30/2004
AR,1998,99610306,AR SWCC - ARKANSAS SOIL AND WATER CONSERVATION COM,1,200 Piney Creeks Watershed Management Planning,No,"BMP Design/Implementation
Nutrient Management Planning
Antidegradation Activities and Analyses
",,,"$20,118 ",No,,Will start on 10/01/1997,Completed on 06/30/1999
AR,1998,99610306,AR SWCC - ARKANSAS SOIL AND WATER CONSERVATION COM,2,300 Bayou Bartholomew Nonpoint Source Assessment Work Plan,No,"Instream Flow Assessments
Water Quality Trend Assessment
",Agriculture,,"$125,326 ",No,,Will start on 01/01/1998,Completed on 12/30/2000
AR,1998,99610306,AR SWCC - ARKANSAS SOIL AND WATER CONSERVATION COM,3,400 Demonstration of Streambank Restoration,No,"Instream Flow Assessments
",Urban Runoff/Stormwater,,"$146,321 ",No,,Will start on 11/01/1997,Completed on 02/28/2001
AR,1998,99610306,AR SWCC - ARKANSAS SOIL AND WATER CONSERVATION COM,4,500 Best Management Practices for Reclaiming Surface Mines in Arkansas Handbook.,Yes,"Statewide Education/Information Programs
",Resource Extraction,,"$27,521 ",No,,Will start on 07/01/1998,Completed on 06/30/2000
AR,1998,99610306,AR SWCC - ARKANSAS SOIL AND WATER CONSERVATION COM,5,600 Illinois River BMP Implementation,No,"Statewide Education/Information Programs
Instream Flow Assessments
",Agriculture,,"$250,000 ",No,,Will start on 02/01/1998,Completed on 01/31/2001
AR,1998,99610306,AR SWCC - ARKANSAS SOIL AND WATER CONSERVATION COM,6,700 Education/Demonstration in the Mud Creek Watershed,No,"Statewide Education/Information Programs
",Construction; Urban Runoff/Stormwater,,"$93,480 ",No,,Will start on 10/01/1997,Completed on 10/31/1999
AR,1998,99610306,AR SWCC - ARKANSAS SOIL AND WATER CONSERVATION COM,7,800 Bayou Bartholomew Water Quality Technical Transfer Project,No,"Statewide Education/Information Programs
",Agriculture,,"$88,351 ",No,,Will start on 10/01/1997,Completed on 09/30/1999
AR,1998,99610306,AR SWCC - ARKANSAS SOIL AND WATER CONSERVATION COM,8,900 Swine Waste Demonstration and Training Project,No,"Statewide Education/Information Programs
Technology Transfer to State/ Local Government
",Agriculture,,"$300,000 ",No,,Will start on 10/01/1997,Completed on 09/30/2000
AR,1998,99610306,AR SWCC - ARKANSAS SOIL AND WATER CONSERVATION COM,9,1000 Smackover Creek Watershed Restoration Demonstration,No,"Statewide Education/Information Programs
Technology Transfer to State/ Local Government
",,,"$250,000 ",No,,Will start on 11/03/1997,Will be Completed On 12/31/2002
AR,1998,99610306,AR SWCC - ARKANSAS SOIL AND WATER CONSERVATION COM,10,"1100 Forestry BMP Implementation and Effectiveness Monitoring- Forester, Logger and Landowner Training and Awareness",Yes,"Statewide Education/Information Programs
Instream Flow Assessments
",Agriculture,,"$250,000 ",No,,Will start on 10/01/1997,Completed on 09/30/2000
AR,1998,99610306,AR SWCC - ARKANSAS SOIL AND WATER CONSERVATION COM,11,1200 BSA Water Quality Training,No,"Nutrient Management Planning
",Silviculture,,"$4,156 ",No,,Will start on 11/01/1997,Completed on 12/31/2000
AR,1998,99610306,AR SWCC - ARKANSAS SOIL AND WATER CONSERVATION COM,12,1300 Spavinaw Creek/Lake Eucha Animal Waste Project,No,"Statewide Education/Information Programs
",Animal Feeding Operations,,"$121,609 ",No,,Did start on ,Will be Completed On 
AR,1998,99610306,AR SWCC - ARKANSAS SOIL AND WATER CONSERVATION COM,13,1400 Nonpoint Source Management Program,No,,,,"$32,393 ",No,Completed,Did start on ,Completed on 
AR,1998,99610306,AR SWCC - ARKANSAS SOIL AND WATER CONSERVATION COM,14,No Title for this Project,No,,,,"$103,060 ",No,,Will start on ,Will be Completed On 
AR,1998,99610306,AR SWCC - ARKANSAS SOIL AND WATER CONSERVATION COM,15,No Title for this Project,No,,,,"$60,000 ",No,,Will start on ,Will be Completed On 
AZ,1998,98904698,ADEQ - AZ DEPT OF ENV QUALITY,1,Nutrioso Creek Pollution Prevention Project,No,,,,"$19,500 ",No,Completed,Did start on 06/24/1999,Completed on 12/01/1999
AZ,1998,98904698,ADEQ - AZ DEPT OF ENV QUALITY,2,Verde River Headwaters Riparian Restoration Demonstration Project,No,,,,"$45,727 ",No,Completed,Did start on 08/01/2000,Completed on 07/31/2003
