State,Award Fiscal Year,Grant No,Grantee,Project Number,Title,State Wide Project,Primary Functional Category,Category Of Pollution,TMDL,Total 319h Funds,Has Pollutant Data,Current Status,Project Start,Project End
AL,1999,99469999,AL DEPT OF ENVIRONMENTAL MANAGEMENT,1,Administration and Management of Alabama's FY99 Clean Water Act Section 319 Nonpoint Source Grant Program (base allocation) (WRAS),Yes,"Local (Specific Target) Education/Information Programs
Nonpoint Source Program Overall Coordination/ Management
Nonpoint Source Project Staffing
Technology Transfer to State/ Local Government
Watershed Modeling - General Usage
Geographic Information Systems
Develop/ Revise Basin Plans larger than 8 digit HUC code
",,,"$623,166 ",No,On Schedule,Did start on 10/01/1998,Completed on 09/30/2005
AL,1999,99469999,AL DEPT OF ENVIRONMENTAL MANAGEMENT,2,"Water Quality Assessment of the Chattahoochee, Choctawhatchee, Chipola and Perdido-Escambia River Basins",Yes,"Instream Flow Assessments
Assessments for Compliance with Water Quality Standards
Water Quality Trend Assessment
Water Quality Problem Identification
",All Sources,,"$138,000 ",No,Completed,Did start on 10/01/1998,Completed on 09/30/2005
AL,1999,99469999,AL DEPT OF ENVIRONMENTAL MANAGEMENT,3,Lower Cahaba River Basin Nonpoint Source Demonstration Project,No,"BMP Design/Implementation
BMP Effectiveness Monitoring
",All Sources,,"$300,000 ",No,Completed,Did start on 10/01/1998,Completed on 09/30/2005
AL,1999,99469999,AL DEPT OF ENVIRONMENTAL MANAGEMENT,4,Black Warrior River Basin Nonpoint Source Demonstration Project,No,"Implementing a Statewide Program (Regulatory or Non-Regulatory)
",,,"$648,934 ",No,Completed,Did start on 10/01/2001,Completed on 09/30/2005
AL,1999,99469999,AL DEPT OF ENVIRONMENTAL MANAGEMENT,5,Alabama Citizen Volunteer Water Quality Monitoring Program,Yes,"Statewide Education/Information Programs
Local (Specific Target) Education/Information Programs
Water Quality Trend Assessment
Water Quality Problem Identification
Other Water Quality Assessment /Monitoring
",All Sources,,"$140,000 ",No,Completed,Did start on 10/01/1998,Completed on 09/30/2005
AL,1999,99469999,AL DEPT OF ENVIRONMENTAL MANAGEMENT,6,Alabama Polluted Runoff Education Coordinator,Yes,"Local (Specific Target) Education/Information Programs
Nonpoint Source Program Overall Coordination/ Management
",,,"$68,500 ",No,Completed,Did start on 06/20/2000,Completed on 09/30/2001
AL,1999,99469999,AL DEPT OF ENVIRONMENTAL MANAGEMENT,7,Restoration and Management of Rivers and Watersheds - Applied Fluvial Geomorphology,Yes,"Statewide Education/Information Programs
Nonpoint Source Program Overall Coordination/ Management
Technology Transfer to State/ Local Government
",Hydromodification,NOT APPLICABLE (NA),"$34,000 ",No,On Schedule,Did start on 10/23/2002,Completed on 10/23/2003
AL,1999,99469999,AL DEPT OF ENVIRONMENTAL MANAGEMENT,8,CWAP Grant Administration and Management,Yes,"BMP Design/Implementation
Animal Manure/Litter Management Projects
Livestock Control Projects
Vegetation Management/Revegetation
Erosion Control Projects
Riparian Projects
BMP Effectiveness Monitoring
",All Sources,,"$103,000 ",No,On Schedule,Did start on 10/01/1998,Completed on 09/30/2005
AL,1999,99469999,AL DEPT OF ENVIRONMENTAL MANAGEMENT,9,Watershed Restoration Action Strategies,No,,All Sources,,"$40,000 ",No,Completed,Did start on 10/01/1998,Completed on 09/30/2005
AL,1999,99469999,AL DEPT OF ENVIRONMENTAL MANAGEMENT,10,Nonpoint Source Education of Municipal Officials (NEMO),No,"Statewide Education/Information Programs
Local (Specific Target) Education/Information Programs
Nonpoint Source Program Overall Coordination/ Management
",Construction,,"$40,000 ",No,Completed,Did start on 10/01/1998,Completed on 09/30/2005
