State,Award Fiscal Year,Grant No,Grantee,Project Number,Title,State Wide Project,Primary Functional Category,Category Of Pollution,TMDL,Total 319h Funds,Has Pollutant Data,Current Status,Project Start,Project End
AK,2009,96069702,AK DEPT OF ENVIRON CONSERV,1,Mat-Su FRPA Effectiveness Monitoring,No,"Riparian Assessment/ Monitoring
BMP Effectiveness Monitoring
",Silviculture,NOT APPLICABLE (NA),"$34,605 ",No,,Did start on 07/01/2009,Completed on 06/30/2010
AK,2009,96069702,AK DEPT OF ENVIRON CONSERV,2,Rescue Me  Water's Message to the Community,No,"Other Restoration/Protection/Prevention
Local (Specific Target) Education/Information Programs
Ordinance Development
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$31,775 ",No,,Did start on 07/01/2009,Completed on 06/30/2010
AK,2009,96069702,AK DEPT OF ENVIRON CONSERV,4,Jewel Lake Fecal Coliform Assessment 2010,No,"TMDL Assessments
Other Water Quality Assessment /Monitoring
BMP Effectiveness Monitoring
",Other NPS Pollution,Implementing a TMDL,"$34,208 ",Yes,,Did start on 07/01/2009,Completed on 06/30/2010
AK,2009,96069702,AK DEPT OF ENVIRON CONSERV,5,Little Susitna Hydrocarbon Evaluation,No,"Assessments for Compliance with Water Quality Standards
Water Quality Trend Assessment
",Marinas and Recreational Boating,NOT APPLICABLE (NA),"$85,727 ",No,,Did start on 07/01/2009,Completed on 06/30/2010
AK,2009,96069702,AK DEPT OF ENVIRON CONSERV,7,Stormwater Collection-Sediment Separators,No,"Sediment Control
Stormwater Discharge Design/ Control
",Construction; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$45,000 ",No,,Did start on 07/01/2009,Completed on 06/30/2010
AK,2009,96069702,AK DEPT OF ENVIRON CONSERV,10,Granite Creek Recovery and TMDL Implemenation,No,"Grade Stabilization
Sediment Control
Riparian Assessment/ Monitoring
BMP Effectiveness Monitoring
",Construction; Resource Extraction; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$24,985 ",Yes,,Did start on 07/01/2009,Completed on 06/30/2010
AK,2009,96069702,AK DEPT OF ENVIRON CONSERV,12,Watermelon Trail Upgrades at Beaver Creek Crossing,No,"Erosion Control Projects
",Other NPS Pollution,NOT APPLICABLE (NA),"$26,825 ",No,,Did start on 07/01/2009,Completed on 06/30/2010
AK,2009,96069702,AK DEPT OF ENVIRON CONSERV,14,Kenai River Agency Baseline Monitoring,No,"Assessments for Compliance with Water Quality Standards
Water Quality Trend Assessment
Water Quality Problem Identification
Watershed Assessments
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$23,015 ",No,,Did start on 07/01/2009,Completed on 06/30/2010
AK,2009,96069702,AK DEPT OF ENVIRON CONSERV,15,Cook Inlet Stream Temperature Monitoring Network,No,"Water Quality Trend Assessment
Other Water Quality Assessment /Monitoring
",Other NPS Pollution,NOT APPLICABLE (NA),"$69,680 ",No,,Did start on 07/01/2009,Completed on 06/30/2010
AK,2009,96069702,AK DEPT OF ENVIRON CONSERV,16,Trends Monitoring of Fish Habitat Conditions on Private Timberlands in SE Alaska,No,"Riparian Assessment/ Monitoring
BMP Effectiveness Monitoring
",Silviculture,NOT APPLICABLE (NA),"$24,400 ",No,,Did start on 07/01/2009,Completed on 06/30/2010
AK,2009,96069702,AK DEPT OF ENVIRON CONSERV,17,Developing a Clean Harbor Certification Program,Yes,"Statewide Education/Information Programs
Local (Specific Target) Education/Information Programs
Certification Activities
Other Planning
",Marinas and Recreational Boating,NOT APPLICABLE (NA),"$46,677 ",No,,Did start on 07/01/2009,Completed on 06/30/2010
AK,2009,96069702,AK DEPT OF ENVIRON CONSERV,18,Juneau Stormwater BMP Demonstration Sites,No,"BMP Design/Implementation
BMP Performance Assessment
Local (Specific Target) Education/Information Programs
BMP Effectiveness Monitoring
",Construction; Historical Pollutants; Urban Runoff/Stormwater,Implementing a TMDL,"$12,220 ",Yes,,Did start on 07/01/2009,Completed on 06/30/2010
AK,2009,96069702,AK DEPT OF ENVIRON CONSERV,19,Sawmill Creek Sediment and Discharge Study,No,"Instream Flow Assessments
",Construction,NOT APPLICABLE (NA),"$18,248 ",No,,Did start on 07/01/2009,Completed on 06/30/2010
AK,2009,96069702,AK DEPT OF ENVIRON CONSERV,21,Gulkana River and Cordova Eyak Lake Sampling,No,"Water Quality Problem Identification
",Other NPS Pollution; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$15,000 ",No,,Did start on 06/08/2009,Completed on 06/30/2010
AK,2009,96069702,AK DEPT OF ENVIRON CONSERV,22,Lower Kenai River Boat Counts: To Augment Petroleum Hydrocarbon Pollution Sampling,No,"Water Quality Trend Assessment
",Marinas and Recreational Boating,NOT APPLICABLE (NA),"$24,852 ",No,,Did start on 04/20/2009,Completed on 06/30/2010
