State,Award Fiscal Year,Grant No,Grantee,Project Number,Title,State Wide Project,Primary Functional Category,Category Of Pollution,TMDL,Total 319h Funds,Has Pollutant Data,Current Status,Project Start,Project End
AL,2013,96464614,AL DEPT OF ENVIRONMENTAL MANAGEMENT,1,Administration and Management of the Alabama FY14 Clean Water Act Section 319 Nonpoint Source Program,Yes,"BMP Design
BMP Implementation
NPS Grants Administration
Technical Assistance/Technology Transfer
Development of WBPs or Acceptable Alternatives
Implementing a Statewide Program (Regulatory or Non-Regulatory)
Other
NPS State Staff Activities
Education/Information
GIS/Modeling
Watershed Planning
Monitoring Design
",Other NPS Pollution,NOT APPLICABLE (NA),"$662,769 ",No,Completed,Did start on 10/01/2013,Will be Completed On 09/30/2018
AL,2013,96464614,AL DEPT OF ENVIRONMENTAL MANAGEMENT,2,Statewide Surface Water Quality Monitoring of Priority Wadeable Streams and Rivers,Yes,"Watershed Assessments
",Agriculture; Other NPS Pollution,NOT APPLICABLE (NA),"$304,140 ",No,Completed,Did start on 10/01/2013,Will be Completed On 09/30/2018
AL,2013,96464614,AL DEPT OF ENVIRONMENTAL MANAGEMENT,3,"Statewide Surface Water Quality Assessment of Rivers, Resevoirs, and Tributary Embayments ",Yes,"Watershed Assessments
",Agriculture; Other NPS Pollution,NOT APPLICABLE (NA),"$150,592 ",No,Completed,Did start on 10/01/2013,Will be Completed On 09/30/2018
AL,2013,96464614,AL DEPT OF ENVIRONMENTAL MANAGEMENT,4,Alabama Coastal Nonpoint Pollution Control Program (Phase I: Coastal Alabama Onsite Septage Inspection Project),No,"BMP Implementation
Education/Information
Other Planning
",Hydromodification; Land Disposal/Storage/Treatment; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$100,000 ",No,Completed,Did start on 10/01/2013,Will be Completed On 09/30/2018
AL,2013,96464614,AL DEPT OF ENVIRONMENTAL MANAGEMENT,5,Alabama Clean Water Partnership,Yes,"Statewide Education/Information Programs
",All Sources,NOT APPLICABLE (NA),"$272,999 ",No,Completed,Did start on 01/09/2015,Completed on 01/09/2016
AL,2013,96464614,AL DEPT OF ENVIRONMENTAL MANAGEMENT,6,Administration and Management of the Alabama FY14 Clean Water Act Section 319 Nonpoint Source Program's Implementation Projects,Yes,"BMP Implementation
NPS Grants Administration
Technical Assistance/Technology Transfer
Development of WBPs or Acceptable Alternatives
Implementing a Statewide Program (Regulatory or Non-Regulatory)
Other
NPS State Staff Activities
Watershed Planning
",Agriculture; Hydromodification; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$168,844 ",No,Completed,Did start on 10/01/2013,Will be Completed On 09/30/2018
AL,2013,96464614,AL DEPT OF ENVIRONMENTAL MANAGEMENT,7,Moores Creek Watershed Management Project—Phase Two ,No,"BMP Design
BMP Implementation
Education/Information
",Construction; Hydromodification,NOT APPLICABLE (NA),"$520,093 ",Yes,Completed,Did start on 06/08/2015,Will be Completed On 09/30/2017
AL,2013,96464614,AL DEPT OF ENVIRONMENTAL MANAGEMENT,8,Graves Creek Watershed Project,No,"BMP Design/Implementation
",Agriculture; Animal Feeding Operations; Other NPS Pollution,Implementing a TMDL,"$179,583 ",Yes,Completed,Did start on 03/27/2015,Will be Completed On 02/28/2018
AL,2013,96464614,AL DEPT OF ENVIRONMENTAL MANAGEMENT,9,Upper Scarham Creek Watershed Project,No,"BMP Implementation
",Agriculture; Animal Feeding Operations,Implementing a TMDL,"$261,151 ",Yes,Completed,Did start on 08/05/2015,Will be Completed On 09/30/2018
AL,2013,96464614,AL DEPT OF ENVIRONMENTAL MANAGEMENT,10,Shoal Creek Watershed Management Plan Implementation ,No,"BMP Implementation
",Agriculture; Other NPS Pollution,Implementing a TMDL,"$158,800 ",Yes,Completed,Did start on 03/20/2015,Will be Completed On 09/30/2018
AL,2013,96464614,AL DEPT OF ENVIRONMENTAL MANAGEMENT,11,Pursley Creek Watershed Management Project,No,"BMP Implementation
",Agriculture; Other NPS Pollution; Silviculture,Implementing a TMDL,"$139,496 ",Yes,Completed,Did start on 08/05/2015,Will be Completed On 09/30/2018
AL,2013,96464614,AL DEPT OF ENVIRONMENTAL MANAGEMENT,12,Catoma Creek Watershed Management Plan - Waller Creek Subwatershed Project,No,"Animal Manure/Litter Management Projects
Livestock Control Projects
Vegetation Management/Revegetation
Stream Bank Stabilization
Sediment Control
Erosion Control Projects
Riparian Projects
BMP Implementation
Local (Specific Target) Education/Information Programs
Nonpoint Source Project Staffing
",Agriculture; Land Disposal/Storage/Treatment,Implementing a TMDL,"$62,533 ",Yes,Completed,Did start on 08/22/2017,Will be Completed On 02/22/2018
AR,2013,99610321,ARKANSAS NATURAL RESOURCES COMMISSION,1,Lee Creek and Frog Bayou Watershed Management Planning – Phase II,No,"Watershed Planning
",Agriculture; Silviculture; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$108,794 ",No,Completed,Did start on 07/01/2013,Completed on 02/28/2015
AR,2013,99610321,ARKANSAS NATURAL RESOURCES COMMISSION,2,Water Quality Demonstration and Educational Program for the Illinois River Watershed,No,"Stormwater Discharge Design/ Control
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$300,000 ",No,,Did start on 07/01/2013,Will be Completed On 06/30/2016
AR,2013,99610321,ARKANSAS NATURAL RESOURCES COMMISSION,3,Water Quality Monitoring for the Bayou Bartholomew Watershed (Hydrologic Unit Code 8040205),No,"BMP Effectiveness Monitoring
",Agriculture,Implementing a TMDL,"$518,196 ",No,,Did start on 07/01/2013,Will be Completed On 09/30/2017
AR,2013,99610321,ARKANSAS NATURAL RESOURCES COMMISSION,4,Middle Cache River Watershed Monitoring,No,"BMP Effectiveness Monitoring
",Agriculture; Hydromodification,NOT APPLICABLE (NA),"$307,425 ",No,Completed,Did start on 07/01/2013,Will be Completed On 06/30/2016
AR,2013,99610321,ARKANSAS NATURAL RESOURCES COMMISSION,5,Development of Comprehensive Watershed Modeling for 12-digit Hydrologic Unit Code “HUC” in Selected Priority Watersheds in Arkansas- Phase III.,No,"Watershed Modeling - Watershed Specific
",Agriculture; Hydromodification; Silviculture,NOT APPLICABLE (NA),"$297,542 ",No,Completed,Did start on 07/01/2013,Completed on 12/31/2015
AR,2013,99610321,ARKANSAS NATURAL RESOURCES COMMISSION,6,Cloud Based Streambank Delineator and Conservation Practice Mapper,Yes,"Technology Transfer to State/ Local Government
",Other NPS Pollution,NOT APPLICABLE (NA),"$133,957 ",No,Completed,Did start on 07/01/2013,Completed on 09/15/2015
AR,2013,99610321,ARKANSAS NATURAL RESOURCES COMMISSION,7,Poplar Creek Watershed Improvement Project,No,"BMP Implementation
",Agriculture,NOT APPLICABLE (NA),"$106,920 ",Yes,Completed,Did start on 07/01/2013,Will be Completed On 06/30/2016
AR,2013,99610321,ARKANSAS NATURAL RESOURCES COMMISSION,8,White River Bank Restoration and Monitoring Project,No,"Stream Bank Stabilization
",Hydromodification,NOT APPLICABLE (NA),"$329,016 ",Yes,,Did start on 07/01/2013,Will be Completed On 12/31/2016
AR,2013,99610321,ARKANSAS NATURAL RESOURCES COMMISSION,9,"Ongoing Planning Support, Data Management, Stakeholder engagement and completion of 2011-2016 Adaptive Management Plan appendix",Yes,"Nonpoint Source Program Overall Coordination/ Management
",All Sources,NOT APPLICABLE (NA),"$256,988 ",No,Completed,Did start on 07/01/2013,Completed on 01/25/2016
AR,2013,99610321,ARKANSAS NATURAL RESOURCES COMMISSION,10,Low Impact Development Demonstration and Education Project for the Illinois River Watershed ,No,"Stormwater Discharge Design/ Control
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$286,380 ",No,,Did start on 07/01/2013,Will be Completed On 06/30/2016
AR,2013,99610321,ARKANSAS NATURAL RESOURCES COMMISSION,11,Lake Fayetteville Watershed Outreach and Education Grant,No,"Statewide Education/Information Programs
",All Sources,NOT APPLICABLE (NA),"$275,782 ",No,Completed,Did start on 07/01/2013,Completed on 01/14/2016
AZ,2013,98961313,AZ DEPT OF ENV QUALITY,1,San Francisco River Restroom ,No,"BMP Design/Implementation
BMP Implementation
",Other NPS Pollution,NOT APPLICABLE (NA),"$199,245 ",Yes,Completed,Did start on 01/23/2014,Completed on 12/31/2015
AZ,2013,98961313,AZ DEPT OF ENV QUALITY,2,14-003 Menges Ranch Water System ,No,"BMP Implementation
",Agriculture,NOT APPLICABLE (NA),$0 ,Yes,Discontinued,Did start on 01/23/2014,Completed on 10/07/2014
