State,Award Fiscal Year,Grant No,Grantee,Project Number,Title,State Wide Project,Primary Functional Category,Category Of Pollution,TMDL,Total 319h Funds,Has Pollutant Data,Current Status,Project Start,Project End
AL,2005,99469905,AL DEPT OF ENVIRONMENTAL MANAGEMENT,1,Administration and Management of the Alabama FY05 Clean Water Act Section 319 Nonpoint Source Base Grant,Yes,"Nonpoint Source Program Overall Coordination/ Management
",Agriculture; All Sources,NOT APPLICABLE (NA),"$696,928 ",No,Completed,Did start on 10/01/2004,Completed on 09/30/2005
AL,2005,99469905,AL DEPT OF ENVIRONMENTAL MANAGEMENT,2,"Rotational River Basin Approach: Surface Water Quality Assessment of the Coosa, Tallapoosa, and Alabama River Basins",Yes,"Other Water Quality Assessment /Monitoring
",All Sources,NOT APPLICABLE (NA),"$377,582 ",No,On Schedule,Did start on 10/01/2004,Completed on 09/30/2011
AL,2005,99469905,AL DEPT OF ENVIRONMENTAL MANAGEMENT,3,"Surface Water Quality Assessment of Rivers, Reservoirs, and Tributary Embayments of the Alabama, Coosa, and Tallapoosa River Basins",Yes,"Other Water Quality Assessment /Monitoring
",Agriculture; All Sources,NOT APPLICABLE (NA),"$203,461 ",No,On Schedule,Did start on 10/01/2004,Completed on 09/30/2011
AL,2005,99469905,AL DEPT OF ENVIRONMENTAL MANAGEMENT,4,Benthic Taxonomic Identification and Analyses/Database Development,Yes,"Watershed Assessments
",Agriculture,NOT APPLICABLE (NA),"$110,000 ",No,On Schedule,Did start on 10/01/2004,Completed on 09/30/2011
AL,2005,99469905,AL DEPT OF ENVIRONMENTAL MANAGEMENT,5,Alabama Water Watch,Yes,"Statewide Education/Information Programs
",All Sources,NOT APPLICABLE (NA),"$120,000 ",No,On Schedule,Did start on 12/19/2005,Completed on 12/18/2007
AL,2005,99469905,AL DEPT OF ENVIRONMENTAL MANAGEMENT,6,Water Quality Coordinator and Education/Outreach Specialist for the State Soil and Water Conservation Committee,Yes,"Statewide Education/Information Programs
Other Technical Assistance Activity
",Agriculture,NOT APPLICABLE (NA),"$60,000 ",No,Completed,Did start on 08/25/2006,Completed on 05/09/2008
AL,2005,99469905,AL DEPT OF ENVIRONMENTAL MANAGEMENT,7,Clean Water Partnership Facilitation,Yes,"Statewide Education/Information Programs
",All Sources,NOT APPLICABLE (NA),"$270,838 ",No,Completed,Did start on 10/14/2005,Completed on 09/27/2006
AL,2005,99469905,AL DEPT OF ENVIRONMENTAL MANAGEMENT,8,Broad-scale Communication and Forecasting for Environmental Quality,No,"Local (Specific Target) Education/Information Programs
",All Sources,NOT APPLICABLE (NA),"$80,000 ",No,Discontinued,Did start on 02/07/2006,Completed on 02/06/2008
AL,2005,99469905,AL DEPT OF ENVIRONMENTAL MANAGEMENT,9,Erosion and Sediment Control on Construction Sites and Urban Areas in Alabama,Yes,"Sediment Control
",Construction,NOT APPLICABLE (NA),"$45,000 ",No,On Schedule,Did start on 12/19/2005,Completed on 12/18/2007
AL,2005,99469905,AL DEPT OF ENVIRONMENTAL MANAGEMENT,10,Administration and Management of the Alabama FY2005 Clean Water ActSection 319 Nonpoint Source Incremental Grant,Yes,"Nonpoint Source Project Staffing
",All Sources,NOT APPLICABLE (NA),"$325,470 ",No,Completed,Did start on 10/01/2004,Completed on 09/30/2005
AL,2005,99469905,AL DEPT OF ENVIRONMENTAL MANAGEMENT,12,Demonstration of LID Practies to Reduce NPS Runoff in Saugahatchee Creek,No,"BMP Design/Implementation
Stormwater Discharge Design/ Control
",Urban Runoff/Stormwater,Implementing a TMDL,"$312,000 ",Yes,Completed,Did start on 04/24/2008,Completed on 04/23/2011
AL,2005,99469905,AL DEPT OF ENVIRONMENTAL MANAGEMENT,13,Hurricane Creek (Dowling Branch) Restoration Project,No,"BMP Design/Implementation
",Agriculture,Implementing a TMDL,"$317,922 ",Yes,Completed,Did start on 06/20/2007,Completed on 06/20/2010
AL,2005,99469905,AL DEPT OF ENVIRONMENTAL MANAGEMENT,14,Moore's Mill Creek Natural Channel Design ,No,"Stream Bank Stabilization
Riparian Projects
Other Restoration/Protection/Prevention
Local (Specific Target) Education/Information Programs
Watershed Management Planning
",Hydromodification; Urban Runoff/Stormwater,Implementing a TMDL,"$342,000 ",Yes,Completed,Did start on 10/01/2007,Completed on 09/20/2010
AL,2005,99469905,AL DEPT OF ENVIRONMENTAL MANAGEMENT,16,Indian Creek Watershed Restoration Project,No,"BMP Design/Implementation
",Agriculture; Animal Feeding Operations; Construction; Land Disposal/Storage/Treatment; Urban Runoff/Stormwater,Implementing a TMDL,"$357,741 ",Yes,Completed,Did start on 10/22/2007,Completed on 10/22/2010
AL,2005,99469905,AL DEPT OF ENVIRONMENTAL MANAGEMENT,17,Juniper Creek Watershed Protection Project,No,"Livestock Control Projects
Vegetation Management/Revegetation
",Animal Feeding Operations,Implementing a TMDL,"$81,028 ",Yes,Completed,Did start on 06/13/2008,Completed on 11/22/2010
AL,2005,99469905,AL DEPT OF ENVIRONMENTAL MANAGEMENT,18,Phase II - Brier Fork/Beaverdam Creek Watershed Restoration Project,No,"BMP Design/Implementation
",Agriculture; Animal Feeding Operations; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$235,130 ",Yes,Completed,Did start on 03/13/2008,Completed on 03/13/2011
AR,2005,99610313,ARKANSAS NATURAL RESOURCES COMMISSION,1,Core Program,Yes,"Nonpoint Source Program Overall Coordination/ Management
",All Sources; Historical Pollutants,NOT APPLICABLE (NA),"$2,313,241 ",Yes,,Did start on 07/01/2005,Completed on 06/30/2006
AR,2005,99610313,ARKANSAS NATURAL RESOURCES COMMISSION,2,Nonpoint Source Assessment of the Middle Fork White River (MF-WR) Watershed,No,"Watershed Assessments
",All Sources,NOT APPLICABLE (NA),"$55,500 ",No,,Did start on 10/01/2005,Completed on 09/24/2008
AR,2005,99610313,ARKANSAS NATURAL RESOURCES COMMISSION,3,Arkansas Silvicultural Non-point Source (NPS) Project,Yes,"BMP Performance Assessment
",Silviculture,NOT APPLICABLE (NA),"$134,218 ",No,,Did start on 10/01/2005,Completed on 09/04/2008
AR,2005,99610313,ARKANSAS NATURAL RESOURCES COMMISSION,4,:  Demonstration of Best Management Practices for Stream Bank Protection,No,"BMP Design/Implementation
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$215,761 ",Yes,Completed,Did start on 10/01/2005,Completed on 12/22/2008
AR,2005,99610313,ARKANSAS NATURAL RESOURCES COMMISSION,5,Middle White River,No,"BMP Design/Implementation
",Agriculture,NOT APPLICABLE (NA),"$177,100 ",Yes,,Did start on 10/01/2005,Completed on 10/29/2008
AR,2005,99610313,ARKANSAS NATURAL RESOURCES COMMISSION,6,St. Francis and Lee County Larkin Creek Sediment Prevention Demonstration Project.,No,"Sediment Control
",Agriculture,Implementing a TMDL,"$11,000 ",No,,Did start on 10/01/2005,Completed on 01/14/2008
AR,2005,99610313,ARKANSAS NATURAL RESOURCES COMMISSION,7,Lower L’Anguille River Watershed Cost-Share Project – Phase II,No,"BMP Design/Implementation
",Agriculture,Implementing a TMDL,"$202,680 ",Yes,,Did start on 10/01/2005,Completed on 10/20/2008
AR,2005,99610313,ARKANSAS NATURAL RESOURCES COMMISSION,8,Strawberry River Agricultural Watershed Project—Reach III (North Big Creek),No,"BMP Design/Implementation
",Agriculture; Construction; Silviculture,NOT APPLICABLE (NA),"$199,399 ",Yes,,Did start on 10/01/2005,Completed on 09/30/2008
AR,2005,99610313,ARKANSAS NATURAL RESOURCES COMMISSION,9,Assessing Nonpoint Source Pollution Sources for a Priority Subwatershed of the Upper Saline River,No,"Watershed Assessments
",Agriculture; All Sources; Construction; Hydromodification; Silviculture; Turf Management; Urban Runoff/Stormwater,Developing a TMDL,"$112,684 ",No,,Did start on 10/01/2005,Completed on 05/06/2008
AR,2005,99610313,ARKANSAS NATURAL RESOURCES COMMISSION,10,Urban NPS Hispanic Outreach and Education,No,"Local (Specific Target) Education/Information Programs
",All Sources,NOT APPLICABLE (NA),"$300,000 ",No,,Did start on 10/01/2005,Completed on 05/31/2009
AR,2005,99610313,ARKANSAS NATURAL RESOURCES COMMISSION,11,Demonstration of Low Impact Development Best Management Practices,No,"Other Technical Assistance Activity
",Construction; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$69,998 ",No,,Did start on 10/01/2005,Completed on 12/16/2008
AR,2005,99610313,ARKANSAS NATURAL RESOURCES COMMISSION,12,Adaptive Management Plan for Ongoing Review of NPS Management Plan,Yes,"Nonpoint Source Program Overall Coordination/ Management
",All Sources,NOT APPLICABLE (NA),"$222,879 ",No,,Did start on 10/01/2005,Completed on 11/13/2007
AR,2005,99610313,ARKANSAS NATURAL RESOURCES COMMISSION,13,Edge of Field Water Quality Monitoring from Various Management Practices in the Ozark Highlands.,No,"BMP Effectiveness Monitoring
",Agriculture,NOT APPLICABLE (NA),"$286,347 ",No,Completed,Did start on 10/01/2005,Completed on 08/13/2008
AR,2005,99610313,ARKANSAS NATURAL RESOURCES COMMISSION,14,Abandoned Pesticides Project,No,"Antidegradation Activities and Analyses
",Agriculture,NOT APPLICABLE (NA),"$200,000 ",Yes,Completed,Did start on 05/01/2006,Completed on 12/31/2008
AR,2005,99610313,ARKANSAS NATURAL RESOURCES COMMISSION,15,Drew County Erosion Control Project,No,"BMP Design/Implementation
",Agriculture,NOT APPLICABLE (NA),"$28,696 ",Yes,On Schedule,Did start on 09/01/2008,Completed on 07/30/2009
AR,2005,99610313,ARKANSAS NATURAL RESOURCES COMMISSION,16,ANRC Litter Transport from designated Nutrient Surplus Area (NSA) in Arkansas,Yes,"Animal Manure/Litter Management Projects
",Animal Feeding Operations,NOT APPLICABLE (NA),"$125,000 ",No,Completed,Did start on 03/16/2009,Completed on 07/08/2010
