"state","SLRW_Trend_Estimate","SLR_Trend_Estimate","diff_slrw_slr","sign_switch_slrw_slr","SLRW_Intercept_Estimate","SLR_Intercept_Estimate","SLRW_Trend_Error","SLR_Trend_Error"
"AL",-2.48413036703789,1.70627625,4.190407,TRUE,50.2536064251781,33.80753125,0.974397070233641,1.24776420026417
"AR",-1.0174528741441,2.59056886153846,3.608022,TRUE,74.702712570272,67.8272361538462,3.46792648080765,2.90237238969423
"AZ",8.1680152906062,9.02486371331829,0.856848,FALSE,101.069895455141,102.29042748307,9.85348741571273,6.45443617958671
"CO",-0.945254277475921,-1.34672988969028,0.401476,FALSE,49.9197968705737,74.0574326474331,6.76056881769613,3.82402397730615
"CT",-3.13538528602976,-2.0103334057971,1.125052,FALSE,53.5217154336035,37.0822728260869,0.0101178100514129,1.88059055101222
"DE",-2.66936095901493,-3.52415111111111,0.85479,FALSE,121.751639778572,130.355066666667,1.9221440480449,2.96782102603871
"FL",0.613158718629547,0.245179328859061,0.367979,FALSE,42.6430943206633,64.4137822986577,3.64872255274706,1.91793296270162
"GA",-2.30018631716625,2.25599615384615,4.556182,TRUE,88.6813682391705,50.7191166666667,7.43041327044195,2.07528840413852
"IA",9.39121936342615,-4.424897933635,13.816117,TRUE,71.2091119526033,198.212567094017,5.06024168140661,5.59512647974697
"ID",-2.62055200609552,-3.13467036780014,0.514118,FALSE,74.7060472129317,95.0309507286607,4.71046164762184,3.63704086546545
"IL",-14.17511028998,-5.39387460317461,8.781236,FALSE,158.883320270873,102.117343253968,5.50530797263026,2.42622067188774
"IN",10.1293181047655,5.79001315443462,4.339305,FALSE,21.6925378151437,34.7691146904136,0.372324793793205,2.34419240140947
"KS",13.8677914550595,4.27854019709543,9.589251,FALSE,138.801447596968,142.791920383817,6.4626849307998,6.61122056872324
"KY",3.07039789954155,5.16113636363637,2.090738,FALSE,80.3768311793462,61.950935828877,4.77024258346574,6.2888656516519
"LA",1.69248579988632,0.0930781249999964,1.599408,FALSE,163.529259817123,212.886536458333,27.8626159464666,16.3820417149348
"MA",13.8560783409957,1.12847325870647,12.727605,FALSE,-5.7948466464843,24.2144589552239,6.27433630192005,2.21270883441308
"MD",8.65506111991654,1.108859375,7.546202,FALSE,79.402511886268,67.0278515625,7.66303603787529,5.49702821489285
"ME",0.521743763362556,0.81055043383948,0.288807,FALSE,8.47949178999784,6.70931399132321,0.304143384950349,0.234153196479184
"MI",1.68165754773821,1.0579001876005,0.623757,FALSE,14.9585532183957,18.650781892085,0.744192070340716,0.534194966810482
"MN",0.392172514186217,-3.44823615384615,3.840409,TRUE,53.0115543370146,108.465008974359,0.137137875969624,3.2900912740109
"MO",-2.15193476292181,0.255216614296938,2.407151,TRUE,102.756483793021,75.7039141791045,4.13940271844032,2.61778882720558
"MS",-5.30827070662777,-7.97743307086614,2.669162,FALSE,203.239156170577,161.373543307087,31.5823241756559,10.9952110186677
"MT",-1.94388064491763,-2.22498847631239,0.281108,FALSE,186.675594185926,243.794983866837,15.1258812615533,12.3463170453305
"NC",7.16233189253053,4.48504958333333,2.677282,FALSE,20.0706538496496,36.06353125,2.31529171800485,3.25597422974096
"ND",12.5918800414749,5.99846523567801,6.593415,FALSE,202.858645379242,314.853380565628,14.8203094204085,10.6560273386775
"NE",18.835581416494,1.37725203252032,17.458329,FALSE,286.327690073594,355.23412195122,25.2009205857725,11.9570058290005
"NH",0.959491157707057,0.912065569972197,0.047426,FALSE,9.89760311864442,9.72477409638554,0.300116490860827,0.275691502902972
"NJ",0.862222081264053,-1.25009929503916,2.112321,TRUE,46.1588203288094,63.3714077023499,2.88061338798139,2.37938591118944
"NM",-4.0187477607389,-1.18677436281859,2.831973,FALSE,67.3420662115417,73.7960832083958,0.566175169108137,2.81859066673103
"NV",-39.7417800226324,-50.2714841437632,10.529704,FALSE,460.467572889329,543.720634249471,17.8701713971815,29.809168687288
